TOWARD INVERCHAOLAIN (LOCH STRIVEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 094 752,Long,-5.051553,Lat,55.933103,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,8.94,6.76,5.83,10.41,10.05,13.52,2.92,8.13,7.61,12.26,6.39,9.45,4.95,6.76,10.35,12.2,5.97,5.71,1.32,,,,,,,,,
February,,,,8.58,2.8,5.83,8.07,4.51,7.17,3.01,0.55,6.84,0.09,7.95,1.73,8.47,5.21,9.72,7.28,10.2,3.3,6.59,,,,,,,,,
March,,,,4.06,1.44,4.68,6.2,7.82,6.72,2.27,4.18,1.21,3.78,6.13,4.37,2.81,5.22,2.42,7.03,6.19,4.53,3.45,,,,,,,,,
April,,,,5.57,4.61,9.2,3.26,5.51,3.3,2.43,2.11,3.22,7.43,5.15,5.04,4.74,2.21,3.85,1.15,4.26,2.62,2.56,,,,,,,,,
May,,,,3.6,5.58,8.96,3.67,4.65,2.17,4.94,3.61,6.21,2.9,4.24,5.18,1.43,2.86,1.93,5.22,1.28,1.51,2.36,,,,,,,,,
June,,,,3.79,3.84,1.34,3.66,5.25,6.86,4.26,3.74,7.2,1.72,3.91,3.94,5.03,2.37,6.32,8.11,3.72,1.18,1.66,,,,,,,,,
July,,,,6.86,6.2,2.97,3.94,4.33,4.31,4.86,3.81,5.38,4.81,4.12,3.93,3.76,8.01,7.8,7.22,9.71,4.37,3.52,,,,,,,,,
August,,,,8.88,6.68,5.66,6.5,6.58,5.86,9.14,10.32,3.28,4.89,7,6.63,3.25,4.43,4.07,4.43,2.84,3.67,5.84,,,,,,,,,
September,,,5.4,10.92,7.86,5.93,5.28,8.64,5.12,2.94,6.08,2.77,6.67,1,9.3,8.56,5.24,4.84,7.94,6.59,5.03,2.43,,,,,,,,,
October,,,3.06,9.84,4.73,6.53,11.97,8.49,10.55,9.52,10.11,6.76,8.98,4.28,13.41,15.42,8.92,3.85,13.24,2.69,7.2,5.39,,,,,,,,,
November,,,5.79,7.27,4.86,1.96,8.98,7.18,11.34,9.14,8.59,9.38,5.92,4.87,3.2,8.4,6.41,2.09,13.71,10.62,8.03,4.92,,,,,,,,,
December,,,6.8,6.91,9.24,4.43,5.39,2.42,8.25,15.34,7.19,8.61,9.83,2.88,12.21,6.19,10.04,5.7,7.67,6.32,6.44,2.81,,,,,,,,,
Total,,,,85.22,64.6,63.32,77.33,75.43,85.17,70.77,68.42,68.47,69.28,57.92,78.39,73.01,67.68,62.94,95.2,70.39,53.59,42.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location and Elv approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Gauge move 100 yds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 np Low Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
