TOWCESTER STOKE BRUERNE PARK,,,,,,,,,,,,
Grid ref,SP741488,Long,-0.918852,Lat,52.132545,,,,,,,
Station no,RR7066,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.57,2.99,0.58,4.34,1.13,1.05,0.93,,
February,,,,1.08,3.71,0.87,2.45,1.30,0.93,0.50,,
March,,,,2.66,1.53,2.99,1.57,0.98,3.47,2.07,,
April,,,,1.77,0.93,1.82,0.68,2.12,4.09,1.89,,
May,,,,2.99,2.30,0.74,1.57,3.90,1.93,1.24,,
June,,,,4.41,0.42,3.44,2.90,2.55,1.53,4.00,,
July,,,,2.66,2.87,1.13,1.29,2.68,2.28,2.31,,
August,,,,3.38,2.15,3.85,0.98,1.59,3.35,2.62,,
September,,,,2.36,2.27,1.57,0.86,0.77,1.35,2.39,,
October,,,,6.53,0.72,1.51,3.94,4.27,1.42,3.44,,
November,,,,1.85,1.55,3.28,3.27,2.07,1.01,0.57,,
December,,,,1.07,2.65,0.83,2.24,4.06,1.52,3.23,,
Total,,,,33.33,24.09,22.61,26.09,27.42,23.93,25.19,,
Calc annual,0.00,0.00,0.00,33.33,24.09,22.61,26.09,27.42,23.93,25.19,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
