"ORRIN DAM",,,,,,,,,,,,
Grid ref,NH405505,Long,-4.664583,Lat,57.516490,,,,,,,
Station no,5770/95,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.40,8.53,4.90,2.19,4.02,,
February,,,,,,2.82,5.09,2.71,1.13,2.90,,
March,,,,,,3.69,4.73,1.64,1.75,0.99,,
April,,,,,,3.15,1.59,-999.00,6.28,3.86,,
May,,,,,,3.06,1.28,5.14,1.35,1.11,,
June,,,,,,2.05,1.24,3.51,2.56,3.61,,
July,,,,,,6.46,10.52,2.21,4.65,3.60,,
August,,,,,,7.65,7.05,2.43,2.71,8.52,,
September,,,,,,3.91,6.52,2.72,1.02,2.83,,
October,,,,,,7.66,5.09,4.94,5.07,4.29,,
November,,,,,,6.82,2.82,1.22,4.85,2.80,,
December,,,,,,8.75,6.36,4.47,4.46,4.08,,
Total,,,,,,61.42,60.82,38.46,38.02,42.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,61.42,60.82,35.89,38.02,42.61,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,2.57,0.00,0.00,,
