HOLLOWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP687722,Long,-0.992981,Lat,52.343582,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1121/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.8,5.48,3.16,2.86,2.27,3.48,1.62,2.12,1.91,1.77,4.65,1.1,0.72,2.74,1.79,1.31,1.2,1.69,3.64,1.88,3.24,3.5,4.07
February,,,,,,,,0.77,1.03,2.36,1.8,0.98,0.9,1.04,1.61,2.3,1.44,0.99,0.91,3.26,2.91,0.75,1.64,2.68,1.78,0.52,2.85,3.23,0.05,1.63
March,,,,,,,,0.25,1.8,1.73,2.63,1.24,0.88,0.22,0.79,0.86,5.19,0.65,1.41,1.14,3.52,2.59,0.97,2.63,1.92,0.81,2.32,2.09,2.47,1.44
April,,,,,,,,0.08,1.82,1.74,1.34,1.13,0.91,1.88,1.05,1.66,1.89,1.22,1.8,2.37,3.82,1.84,2.13,0.43,1,0.77,0.46,0.7,2.63,0.77
May,,,,,,,,1.49,1.23,1.31,1.8,2.67,2.17,1.2,1.99,2.52,0.89,2.86,2.09,2.88,2.87,2.49,0.98,2.35,3.4,0.49,1.69,2.78,0.41,1.41
June,,,,,,,,1.78,1.97,0.62,1.32,0.2,2.05,2.52,2.4,3.17,1.24,2.1,0.54,2.39,1.22,1.42,2.72,2.33,1.8,2.29,2.21,4.3,1.25,2.82
July,,,,,,,,2.04,3.32,3.9,3.43,1.95,0.87,2.53,1.96,1.73,2.28,1.44,0.74,3.16,0.85,0.28,3.15,3.1,0.46,3.03,2.7,4.39,1.47,3.55
August,,,,,,,,2.7,3.86,0.17,3.82,1.82,2.15,2.61,1.49,3.24,0.04,3.32,0.96,2.01,4.95,4.17,2.48,4.14,0.65,5.27,3.01,2.31,0.76,4.01
September,,,,,,,,1.47,0.81,0.79,0.39,0.75,2.02,2.71,1.89,2.98,1.42,3.01,1.66,3.89,1.94,2.57,1.65,2.56,2.2,2.1,5.07,2.73,0.09,3.91
October,,,,,,,,2.72,6.03,3.47,1.99,2.89,1.7,2.68,4.26,1.27,0.22,3.36,5.45,0.62,1.38,3.29,1.77,3.18,1.94,0.97,1.11,2.44,1.92,5.52
November,,,,,,,,2.65,3.73,5.65,2.4,2.27,1.71,3.06,0.47,4.58,1.77,1.51,2.32,3.74,5.02,2.25,1.56,4.96,1.11,0.73,1.84,1.79,2.12,3.2
December,,,,,,,,3.62,1.3,1.69,1.12,1.81,0.76,0.98,3.08,2.14,2.02,1.87,1.66,1.51,2.27,2.89,0.94,2.84,2.09,3.72,2.01,2.5,4.58,2.79
Total,,,,,,,,22.37,32.38,26.59,24.9,19.98,19.6,23.05,23.11,28.36,20.17,26.98,20.64,27.69,33.49,26.33,21.3,32.4,20.04,24.34,27.15,32.5,21.25,35.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Dec IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Total IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Jan IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
