"HOLLOWELL",,,,,,,,,,,,
Grid ref,SP687722,Long,-0.992981,Lat,52.343582,,,,,,,
Station no,1121/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,1.79,1.31,1.20,1.69,3.64,1.88,3.24,3.50,-999.00,,
February,2.91,0.75,1.64,2.68,1.78,0.52,2.85,3.23,0.05,1.63,,
March,3.52,2.59,0.97,2.63,1.92,0.81,2.32,2.09,2.47,1.44,,
April,3.82,1.84,2.13,0.43,1.00,0.77,0.46,0.70,2.63,0.77,,
May,2.87,2.49,0.98,2.35,3.40,0.49,1.69,2.78,0.41,1.41,,
June,1.22,1.42,2.72,2.33,1.80,2.29,2.21,4.30,1.25,2.82,,
July,0.85,0.28,3.15,3.10,0.46,3.03,2.70,4.39,1.47,3.55,,
August,4.95,4.17,2.48,4.14,0.65,5.27,3.01,2.31,0.76,4.01,,
September,1.94,2.57,1.65,2.56,2.20,2.10,5.07,2.73,0.09,3.91,,
October,1.38,3.29,1.77,3.18,1.94,0.97,1.11,2.44,1.92,5.52,,
November,5.02,2.25,1.56,4.96,1.11,0.73,1.84,1.79,2.12,3.20,,
December,2.27,2.89,0.94,2.84,2.09,3.72,2.01,2.50,4.58,2.79,,
Total,33.49,26.33,21.30,-999.00,20.04,24.34,27.15,32.50,21.25,35.12,,
Calc annual,33.49,26.33,21.30,32.40,20.04,24.34,27.15,32.50,21.25,31.05,,
Difference,0.00,0.00,0.00,-1031.40,-0.00,0.00,0.00,0.00,0.00,4.07,,
