"DIRLETON, HADDINGTONSHIRE",,,,,,,,,,,,,,,,,,,,
Grid ref,NT513838,Long,-2.7824,Lat,56.0455,Elevation,149,ft,,,,,,,,,,,,
Station no,5106,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,-999,,,,,,,,,,,,,,,,,,,
February,-999,,,,,,,,,,,,,,,,,,,
March,-999,,,,,,,,,,,,,,,,,,,
April,-999,,,,,,,,,,,,,,,,,,,
May,-999,,,,,,,,,,,,,,,,,,,
June,-999,,,,,,,,,,,,,,,,,,,
July,-999,,,,,,,,,,,,,,,,,,,
August,-999,,,,,,,,,,,,,,,,,,,
September,-999,,,,,,,,,,,,,,,,,,,
October,-999,,,,,,,,,,,,,,,,,,,
November,-999,,,,,,,,,,,,,,,,,,,
December,-999,,,,,,,,,,,,,,,,,,,
Total,-999,,,,,,,22.1,28.7,22.2,17.7,18.2,26.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No information at all on record so NGR/Elevation used as for other site in Dirleton,,,,,,,,,,,,,,,,,,,,
