DIRLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT513838,Long,-2.7824,Lat,56.0455,Elevation,149,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.48,0.72,2.11,0.99,2.82,0.6,1.7,1.75,1.23,1.3,1.15,0.78,3.43,2.07,2.43,3.79,1.3,2.3,,,,,,,,,
February,,,,,0.5,2.7,1.97,0.8,0.97,0.77,1.18,1.44,0.24,1.33,0.03,0.95,2.2,2.58,0.32,1.09,0.87,2.46,,,,,,,,,
March,,,,,0.45,2.13,0.94,1.6,1.22,0.32,1.82,1.02,2.34,0.73,3.62,1.16,1.33,2.43,0.41,2.03,2.62,3.05,,,,,,,,,
April,,,,,0.47,1.92,1.45,0.57,0.55,1.62,1.08,1.58,0.94,1.83,3.48,2.97,1.03,1.28,0.06,1.02,1.85,,,,,,,,,,
May,,,,,3.64,3.08,2.32,1.4,1.25,1.49,0.78,2.85,2.24,1.09,1.47,1,1.15,3.01,3.23,0.73,1.63,,,,,,,,,,
June,,,,,1.67,0.61,2.35,1.76,3.55,1.68,1.34,4.16,0.91,1.35,2.31,2.11,1.01,1.75,3.57,1.9,0.56,,,,,,,,,,
July,,,,,3.39,1.12,3.33,3.27,1.95,2.12,3.87,3.52,1.98,2.84,2.44,1.19,3.14,3.68,2.67,2.27,8.26,,,,,,,,,,
August,,,,,2.23,1.93,1.5,5.19,3.12,4.31,5.99,5.11,0.19,0.58,2.87,2.48,1.6,3.51,3.99,1.54,0.93,,,,,,,,,,
September,,,,,2.61,4.18,4.37,5.17,2.16,0.17,3.18,1.36,1.95,1.21,1.51,1.9,3.64,1.02,3.27,1.68,2.42,,,,,,,,,,
October,,,,1.17,3.11,0.98,3.05,3.08,2.67,1.76,1.8,1.55,5.19,2.13,1.98,3.93,1.05,3.07,4.24,2.62,3.2,,,,,,,,,,
November,,,,2.18,1.04,0.64,2.64,1.49,2.36,2.3,2.99,3.19,1.26,1.06,1.41,3.04,2.12,0.43,3.46,2.47,3.41,,,,,,,,,,
December,,,,2.34,1.22,2.34,0.23,2.14,1.62,2.02,1.14,0.33,2.5,1.34,2.45,1.25,1.42,3.34,2.31,0.8,1.17,,,,,,,,,,
Total,,,,,21.81,22.35,26.26,27.46,24.24,19.16,26.87,27.86,20.97,16.79,24.72,22.76,23.12,28.17,29.96,21.94,28.22,,,,,,,,,,
