PRESTEIGN-NORTON-MANOR-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO304668,Long,-3.0219551,Lat,52.294901,Elevation,650,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,0.94,5.5,1.65,1.27,1.33,3.13,0.52,,5.04,1.96,4.01,1.84,1.71,,,6.03,3.6,4.79,2.01,4.06,3.94,4.7,,,,
February,,,,,,1.21,3.39,2.09,1.82,1.04,3.98,2.43,,2,4.52,6.56,6.56,1.1,,,2.52,0.25,4.29,9.51,0.38,4.56,2.84,,,,
March,,,,,,4.66,1.9,1.26,3.83,3.86,1.48,1.38,,6.78,4.36,0.8,4.92,3.34,,,5.23,2.64,3.76,1.68,1.35,0.87,0.97,,,,
April,,,,,,2.25,0.93,2.74,3.75,2.8,3.08,1.77,,5.49,1.96,1.36,1.55,1.85,,,6.44,0.91,3.75,2.41,4.1,2.69,2.83,,,,
May,,,,,,1.75,2.43,3.33,2.35,1.28,2.56,1.01,,3.61,1.39,3.76,4.87,4.46,,,5.25,1.68,0.84,2.45,5.14,4.58,4.09,,,,
June,,,,,,1.69,1.96,3.12,0.92,2.69,4.8,1.94,,2.05,3.97,1.82,1.89,2.8,,,2.64,0.3,1.25,0.78,2.21,0.2,2.32,,,,
July,,,,,,2.44,0.76,3.91,3.42,2.49,2.92,1.84,,1.46,5.48,5.32,2.04,2.4,,,5.81,1.15,4.54,2.79,6.38,2.64,2.26,,,,
August,,,,,,6.72,1.96,3.17,3.08,1.57,4.65,2.54,,1.23,2.96,4.02,2.11,8.43,,,1.06,3.66,3.19,3.02,3.71,2.67,3.09,,,,
September,,,,,,1.47,1,0.63,3.91,2.72,0.69,1.99,,3.08,1.23,0.68,1.38,1.6,,,2.69,1.34,2.72,2.36,5.74,2.9,1.98,,,,
October,,,,,,1.84,4.89,9.75,2.45,5.27,4,2.86,,5.56,2.99,5.43,6.58,4.77,,,4.37,2.17,1,5,4.99,5.18,4.8,,,,
November,,,,,,4.4,3.4,2.93,2.37,1,6.47,4.45,,3.58,4.65,6.19,4.22,1.99,,,1.54,2.33,1.92,2.93,3.25,2.01,6.54,,,,
December,,,,,,0.78,2.45,4.22,3.06,5.97,9.6,8.17,,1.99,8.18,8.35,2.39,1.36,,,3.52,2.03,4.42,2.39,6.03,2.86,0.89,,,,
Total,,,,,,30.15,30.57,38.8,32.23,32.02,47.36,30.9,,41.87,43.65,48.3,40.35,35.81,,,47.1,22.06,36.47,37.33,47.34,35.1,37.31,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is in Norton with the stated relationship to the church. Altitudes are a reasonable match. Norton Manor is 1km W and 100ft higher but much further from the church than stated and the Church is more E than the stated N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
