"SOUTH SHIELDS, DEANS HOSPITAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ361655,Long,-1.437447,Lat,54.982799,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,4.26,1.68,2.94,1.85,1.25,1.27,,1,1.76,1.84,1.34,4.6,1.23,2.06,0.9,2.73,2.9,1.34,,,,,,,,
February,,,,,1.14,1.01,1.3,0.45,1.04,1.17,,0.08,2.27,3.09,2.76,1.07,0.12,1.4,0.68,0.79,4.72,2.17,,,,,,,,
March,,,,,2.44,2.35,1.88,1.72,4.89,2.92,,3.48,1.53,0.66,0.9,2.42,2.11,2.73,1.81,2.09,1.94,2.18,,,,,,,,
April,,,,,2.21,1.57,1.53,0.66,1.46,2.4,,1.89,1.29,0.46,0.87,1.47,0.56,1.21,2.42,2.84,1.17,0.92,,,,,,,,
May,,,,,0.66,2.56,2.61,1.46,0.35,1.61,,1.75,2.37,1.39,2.66,0.88,1.01,1.07,2.23,3.47,1.55,2.44,,,,,,,,
June,,,,,1.13,1.76,1.18,0.26,2.03,0.27,,0.48,2.94,0.91,3.62,1.88,1.7,2.7,2.23,2.26,3.61,1.39,,,,,,,,
July,,,,,2.71,1.89,4.5,0.71,5.83,3.74,,3.44,1.52,2.74,2.24,5.57,2.71,1.17,0.81,2.59,2.48,1.91,,,,,,,,
August,,,,,0.83,3.62,1.79,2.55,1.96,4.06,,4.55,3.68,2.5,3.25,3.58,1.33,2.54,2.26,1.2,6.43,2.25,,,,,,,,
September,,,,,1.07,2.28,1.89,5.19,1.5,1.52,,2.18,2.75,1.78,0.68,0.71,2.18,2.85,0.23,2.33,0.73,0.86,,,,,,,,
October,,,,,2.01,4.54,3,3.3,0.7,4.23,,1.45,4.9,0.84,4.2,5.96,4.9,1.4,4.05,2.5,7.6,2.42,,,,,,,,
November,,,,,1.74,2.23,3.14,3.14,3.81,0.96,,2.3,1.61,2.7,0.29,1.67,1.06,1.89,4.15,1.41,2.65,5.72,,,,,,,,
December,,,,,1.81,0.85,3.34,3.15,0.54,1.3,,3.85,1.64,1.31,1.06,1.98,4.74,1.65,1.07,4.27,2.15,3.18,,,,,,,,
Total,,,,,22.01,26.34,29.1,24.44,25.36,25.45,,26.45,28.26,20.22,23.87,31.79,23.65,22.67,22.84,28.48,37.93,26.78,,,,,,,,
