"SOUTH SHIELDS DEANS HOSPITAL",,,,,,,,,,,,
Grid ref,NZ361655,Long,-1.437447,Lat,54.982799,,,,,,,
Station no,RR4012,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.90,1.34,,,,,,,,,,
February,4.72,2.17,,,,,,,,,,
March,1.94,2.18,,,,,,,,,,
April,1.17,0.92,,,,,,,,,,
May,1.55,2.44,,,,,,,,,,
June,3.61,1.39,,,,,,,,,,
July,2.48,1.91,,,,,,,,,,
August,6.43,2.25,,,,,,,,,,
September,0.73,0.86,,,,,,,,,,
October,7.60,2.42,,,,,,,,,,
November,2.65,5.72,,,,,,,,,,
December,2.15,3.18,,,,,,,,,,
Total,37.93,26.78,,,,,,,,,,
Calc annual,37.93,26.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
