THIRSK - BRYNKELLHOW,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE436819,Long,-1.333,Lat,54.231,Elevation,115,ft,,,,,,,,,,,,,,,,
Station no,3428,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933
January,2.92,1.44,3.30,3.53,1.44,3.13,0.48,3.18,2.12,4.01,3.15,2.39,3.49,1.50,1.85,1.75,2.36,2.09,3.45,1.90,3.56,1.88,1.25,1.77
February,2.50,0.75,1.79,1.13,1.43,3.24,2.75,0.77,2.10,1.06,0.93,0.17,2.05,4.69,1.09,3.23,1.40,1.25,1.24,0.86,0.93,1.33,0.68,5.53
March,0.60,1.35,3.03,2.17,1.81,1.10,2.36,2.38,1.24,2.32,2.08,0.88,1.28,1.51,1.24,1.26,0.71,1.95,2.23,0.17,2.02,1.01,1.89,1.89
April,2.10,1.26,0.10,3.29,0.50,1.00,1.12,1.72,1.60,1.68,3.14,0.98,2.27,1.50,1.75,2.37,0.82,1.27,0.79,1.02,2.63,3.03,1.50,1.08
May,1.97,1.04,2.58,1.90,1.54,1.28,2.60,0.83,2.69,0.97,2.32,1.68,0.73,1.86,4.62,3.39,1.91,1.48,1.12,1.55,1.04,2.94,4.85,2.54
June,1.66,2.97,5.96,1.39,1.38,0.33,2.50,1.81,0.87,1.26,1.25,0.32,1.70,0.72,1.88,0.01,4.27,2.92,3.93,2.07,1.70,3.79,0.63,1.28
July,2.52,0.77,3.59,0.58,3.83,5.19,2.01,1.08,4.00,2.21,4.21,1.31,4.29,2.90,2.68,1.72,1.58,4.71,0.42,1.84,5.20,5.14,4.06,1.17
August,3.42,2.89,4.86,1.11,1.66,2.86,1.57,6.10,2.45,2.22,1.85,3.88,3.29,3.49,2.67,2.44,3.18,5.83,4.91,2.63,2.35,3.67,1.72,0.37
September,0.25,2.31,1.96,1.33,1.41,1.12,2.14,0.60,6.11,0.99,1.29,1.35,2.31,2.75,2.22,2.70,1.51,4.89,0.43,0.71,3.13,2.59,1.79,1.39
October,2.57,1.97,2.26,1.92,1.87,1.01,3.09,3.05,1.93,3.94,2.69,1.20,1.02,2.52,3.52,2.40,2.45,2.19,2.79,2.52,1.99,1.02,3.47,3.97
November,2.88,2.88,2.73,2.09,2.64,2.12,2.47,1.37,2.01,2.66,1.18,1.97,1.44,3.09,1.61,1.56,4.35,2.01,2.28,2.97,2.47,3.51,1.27,2.93
December,2.51,4.11,1.19,2.03,4.71,4.76,1.86,1.49,4.15,3.23,3.44,2.02,3.05,3.00,2.98,2.13,0.69,1.67,1.19,3.71,2.11,0.94,0.88,0.77
Total,25.90,23.74,33.35,22.47,24.22,27.14,24.95,24.38,31.27,26.55,27.53,18.15,26.92,29.53,28.11,24.96,25.23,32.26,24.78,21.95,29.13,30.85,23.99,24.69
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/283,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/171,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/310,,,,,,,,,,,,,,,,,,,,,,,,
