MARKETHILL WHITECROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH962397,Long,-6.522778,Lat,54.29736,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6192/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.59,2.89,4.24,1.78,4.9,4.61,3.92,5.4,4.54,2.91,6.26,5.8,4.53,2.04,5.49,4.93,7.72,2.38,2.07,4.61,5.35,1.84,3.28,4.07,2.52,4.54,3.7,2.85,3.72
February,,0.13,2.96,0.47,4.4,1.89,4.47,1.95,2.77,4.05,3.95,1.8,2.5,1.5,3.09,2.47,1.36,3.44,3.31,4.73,4.48,1.1,1.8,5.24,3.95,1.62,3.04,3.32,1.43,3.46
March,,2.84,2.63,2.35,1.65,2.66,2.64,1.16,3.73,4.73,4,4.36,1.42,0.56,1.46,2.31,6.45,3.36,2.22,1.73,4.14,1.96,0.63,3.63,1.16,2.56,3.81,0.84,3.75,2.58
April,,3.61,1.43,2.68,2.76,0.76,2.8,0.21,2.27,4.16,2.32,2.82,2.17,2.53,1.85,1.52,4.63,3.82,2.84,4.95,2.56,1.17,2.09,0.76,3.4,1.23,1.52,1.28,2.95,3.61
May,,3.56,2.62,3.06,0.97,1.89,1.16,3.38,1.18,0.81,2.82,3.96,3.65,1.75,3.2,2.03,4.25,1.31,2.04,1.14,1.71,1.3,1.93,4.75,3.14,1.46,1.89,2,1.51,2.82
June,,1.29,3.23,1.59,4.79,3.7,2.2,3.83,2.44,1.07,0.5,0.21,3.38,3.14,3.87,3.08,4.43,5.31,1.05,2.35,2.61,4.01,2.14,2.49,4.78,3.37,1.2,5.44,1.6,2.16
July,,5.16,3.26,1.93,1.34,7.32,3.28,5.96,5.59,4.77,2.88,3.53,2.52,4.17,3.69,3.43,4.09,3.39,2.9,5.64,5.09,2.67,4.61,4.08,1.87,4.44,3.74,3.99,3.98,3.54
August,,2.43,1.68,5.08,3.22,2.49,1.97,2.34,1.65,0.4,3.97,4.2,5.97,3.62,1.78,4.55,0.35,3.77,3.68,6.53,5.54,4.54,3.44,2.78,1.39,6.43,5,5.82,1.08,4.77
September,2.44,2.98,0.86,5.29,5,4.07,3.48,2.47,2.31,2.54,0.82,5.52,2.98,5.33,4.42,8.43,3.49,4.16,3.67,7.3,2.77,1.41,3.87,4.87,3.07,4.04,3.65,4.88,1.81,3.13
October,2.23,4.29,3.41,5.31,4.23,3.49,3.39,6.88,5.78,5.83,4.56,2.39,3.9,5.79,3.9,1.53,1.47,3.77,6.83,3.39,1,5.01,2.03,6.88,1.78,2.81,4.18,2.85,5.11,4.89
November,6.78,3.2,1.42,1.24,6.08,4.29,2.67,5.36,6.56,5.03,4.91,0.59,2.84,6.43,0.83,5.74,5.32,2.74,2.72,3.55,6.97,3.29,3.39,6.47,2.54,2.51,1.45,2.07,3.58,4.4
December,3.66,6.04,2.55,6.23,4.39,4.13,3.38,4.44,2.95,4.67,2.31,5.17,2.98,5.45,3.93,6.44,3.6,7.67,5.87,3.29,5.32,5.35,3.21,5.42,5.17,6.28,5.81,5.04,6.76,3.03
Total,,39.12,28.94,39.47,40.61,41.59,36.05,41.9,42.63,42.6,35.95,40.81,40.11,44.8,34.06,47.02,44.37,50.46,39.51,46.67,46.8,37.16,30.98,50.65,36.32,39.27,39.83,41.23,36.41,42.11
