DUNNING (KIPPEN HOUSE),,,,,,,,,,
Grid ref,NO019129,Long,-3.586784,Lat,56.298349,Elevation,450,ft,,
Station no,5537/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.66,3.86
February,,,,,,,,,1.1,5.09
March,,,,,,,,,3.16,2.05
April,,,,,,,,,4.06,4.12
May,,,,,,,,3,1.24,3.14
June,,,,,,,,4.35,2.39,1.94
July,,,,,,,,7.1,3.8,3.77
August,,,,,,,,4.79,0.9,5.66
September,,,,,,,,5.22,0.67,2.82
October,,,,,,,,3.21,3.3,5.98
November,,,,,,,,1.17,6.74,5.55
December,,,,,,,,9.49,7.77,4.97
Total,,,,,,,,,36.79,48.95
