EYAM-RECTORY-OBSERVER-REV-O'FERRALL,,,,,,,,,,
Grid ref,SK218763,Long,-1.6744876,Lat,53.283229,Elevation,820,ft.,,
Station no,2684/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.54,3.36,2.19,,,,,,,
February,4.73,0.51,5.51,,,,,,,
March,0.2,2.43,2.87,,,,,,,
April,4.96,4.15,1.46,,,,,,,
May,2.32,5.06,2.02,,,,,,,
June,4.63,0.28,2.12,,,,,,,
July,4.63,4,1.83,,,,,,,
August,6.18,2.46,0.72,,,,,,,
September,3.71,2.43,1.15,,,,,,,
October,1.3,5.06,5.46,,,,,,,
November,4.84,3.43,2.25,,,,,,,
December,1.56,1.45,0.7,,,,,,,
Total,43.6,34.62,28.28,,,,,,,
,,,,,,,,,,
NGR is the rectory. Altitudes match. ,,,,,,,,,,
