EYAM-RECTORY-OBSERVER-REV-SHAW,,,,,,,,,,,,,,,,,,,,
Grid ref,SK218763,Long,-1.6744876,Lat,53.283229,Elevation,856,ft.,,,,,,,,,,,,
Station no,2684/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.09,1.76,2.42,1.65,3.94,1.61,5.33,4.34,2.7,5.24,2.65,3.75,,
February,,,,,,,4,2.58,3.56,1.59,4.6,2.88,1.81,1.44,2.51,5.64,7.35,0.81,,
March,,,,,,,3.14,3.4,3.98,3.92,1.08,1.69,4.46,4.66,4.49,1.32,5.11,2.64,,
April,,,,,,,2.02,2.44,3.24,2.09,3.77,2.06,0.93,3.91,1.37,1.14,2.78,2.46,,
May,,,,,,,2.63,4.41,3.74,2.6,2.34,0.93,3.63,2.68,2.11,1.45,2.41,2.24,,
June,,,,,,,1.92,5.21,1.99,3.37,2.54,2.31,3.71,1.67,2.83,2.3,2.97,2.45,,
July,,,,,,,2.29,3.64,2.7,3.37,3.8,0.11,5.15,1.2,4.12,5.09,2.28,1.14,,
August,,,,,,,3.03,3.68,3.88,2.42,4.92,2.3,6.34,1.72,2.06,2.71,2.23,6.31,,
September,,,,,,,1.3,0.63,2.78,2.76,0.43,2.67,1.68,2.02,2.45,0.76,1.57,1.43,,
October,,,,,,,6.39,6.73,1.63,5.36,3.29,2.92,3.64,4.19,3.02,2.12,4.9,5.54,,
November,,,,,,,4.67,3.51,2.67,1.04,5.93,4.09,2.52,3.86,5.64,3.95,4.46,3.91,,
December,,,,,,,4.4,3.58,2.82,7.99,6,7.15,5.03,2.29,7.3,8.2,3.6,2.32,,
Total,,,,,,,40.88,41.57,35.41,38.16,42.64,30.72,44.23,33.98,40.6,39.92,42.31,35,,
,,,,,,,,,,,,,,,,,,,,
NGR is the rectory. Stated altitude seems to be 40 ft too high.,,,,,,,,,,,,,,,,,,,,
