"BANGOR (GARTH HOUSE SCHOOL)",,,,,,,,,,,,
Grid ref,IJ494822,Long,-5.684934,Lat,54.665906,,,,,,,
Station no,6206/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.09,3.09,0.93,3.09,3.41,3.42,3.76,3.82,1.74,3.83,,
February,2.50,0.40,0.98,3.85,3.58,0.88,2.37,3.49,0.86,2.78,,
March,2.93,1.36,0.19,4.11,1.66,1.48,3.42,1.83,2.43,2.52,,
April,1.34,1.89,1.37,0.70,1.84,0.52,1.41,1.23,2.61,3.17,,
May,2.73,1.08,2.03,3.17,2.44,0.96,2.67,2.98,1.19,1.64,,
June,1.43,2.56,2.23,2.83,5.94,2.79,1.19,5.52,2.72,2.21,,
July,2.38,1.70,4.98,3.02,1.66,3.24,4.85,3.78,1.99,5.33,,
August,4.23,4.42,2.61,2.89,1.44,6.26,3.27,4.47,1.26,5.78,,
September,2.77,1.03,2.59,3.32,2.81,3.64,4.51,4.64,1.45,3.13,,
October,0.41,3.69,2.56,5.91,2.60,2.41,3.10,1.97,3.31,6.24,,
November,6.35,2.92,3.20,6.70,2.82,1.32,1.99,1.52,3.50,4.77,,
December,4.98,3.57,3.34,4.44,4.75,4.50,4.26,6.71,5.29,2.26,,
Total,36.14,27.71,27.01,44.03,34.95,31.42,36.80,41.96,28.35,43.66,,
Calc annual,36.14,27.71,27.01,44.03,34.95,31.42,36.80,41.96,28.35,43.66,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
