BANGOR (GARTH HOUSE SCHOOL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ494822,Long,-5.684934,Lat,54.665906,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6206/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.4,1.81,6.77,4.97,2.88,3.98,4.79,3.76,6.68,2.11,1.65,4.09,3.09,0.93,3.09,3.41,3.42,3.76,3.82,1.74,3.83
February,,,,,,,,,,2.73,3.31,2.03,1.16,0.85,3.48,2.22,1.56,1.67,1.3,2.6,2.5,0.4,0.98,3.85,3.58,0.88,2.37,3.49,0.86,2.78
March,,,,,,,,,,3.7,4.28,2.51,0.64,0.42,1.42,2.83,5.48,1.72,1.65,1.41,2.93,1.36,0.19,4.11,1.66,1.48,3.42,1.83,2.43,2.52
April,,,,,,,,,2.11,2.93,1.82,1.86,2.02,2.14,1.53,0.48,3.24,1.65,1.71,2.57,1.34,1.89,1.37,0.7,1.84,0.52,1.41,1.23,2.61,3.17
May,,,,,,,,,1.07,2.38,2.68,4.18,3.8,1.53,3.42,1.53,4.5,2.07,1.89,1.25,2.73,1.08,2.03,3.17,2.44,0.96,2.67,2.98,1.19,1.64
June,,,,,,,,,2.51,0.95,0.21,0.24,3.31,2.48,3.83,2.97,3.67,3.27,0.68,1.96,1.43,2.56,2.23,2.83,5.94,2.79,1.19,5.52,2.72,2.21
July,,,,,,,,,4.75,3.83,6.27,2.98,1.72,3.27,3.79,2.43,4.38,2.15,2.47,4.32,2.38,1.7,4.98,3.02,1.66,3.24,4.85,3.78,1.99,5.33
August,,,,,,,,,1.97,0.68,4.79,5.27,5.35,3.17,0.77,5.01,0.23,4.1,3.3,4.77,4.23,4.42,2.61,2.89,1.44,6.26,3.27,4.47,1.26,5.78
September,,,,,,,,,2.59,1.6,2.48,3.75,2.03,5.15,2.87,6.23,1.59,3.28,2.55,5.39,2.77,1.03,2.59,3.32,2.81,3.64,4.51,4.64,1.45,3.13
October,,,,,,,,,3.29,6.54,4.06,4.49,3.95,4.63,3.03,1.6,1.52,3.29,6.34,2.93,0.41,3.69,2.56,5.91,2.6,2.41,3.1,1.97,3.31,6.24
November,,,,,,,,,5.91,5.16,3.24,0.63,1.72,4.81,1.28,4.2,4.32,2.4,3.12,2.72,6.35,2.92,3.2,6.7,2.82,1.32,1.99,1.52,3.5,4.77
December,,,,,,,,,2.75,4.33,1.41,4.8,2.54,4.62,4.09,2.98,1.91,5.49,3.67,2.45,4.98,3.57,3.34,4.44,4.75,4.5,4.26,6.71,5.29,2.26
Total,,,,,,,,,,40.23,36.36,39.51,33.21,35.95,33.49,37.27,36.16,37.77,30.79,34.02,36.14,27.71,27.01,44.03,34.95,31.42,36.8,41.96,28.35,43.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16418,BANGOR: GARTH HOUSE SCHOOL ,01/01/1939,31/12/1965,,,,,,,,,,,,,,,,,,,,,,,,,,,
