SALISBURY-ALDERBURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU184266,Long,-1.738944,Lat,51.038467,Elevation,263,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.83,4.4,1.42,2.91,6.42,4.94,2.41,4.1,1.58,6.46,1.75,3.54,0.49,2.35,1.28,2.62,3.54,2.76,3.33,3.58,1.15,0.71,4.07,2.35,1.1,1.59,2.81,3.51,0.94,2.42,0.39,3.38,3.4,1.56,0.76,2.71,4.89,0.61,5.65,0.74,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.92,2.08,3.03,1.42,3.02,1.76,2.62,2.62,2.62,1.29,2.49,3.93,4.15,3.63,1.87,4.89,2.35,3.77,0.82,0.71,1.09,1.65,0.73,0.01,1.38,3.66,1.94,0.1,0.31,3.42,1.65,3.39,4.65,1.83,2.06,1.6,4.1,0.72,2.78,1.43,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.58,1.78,1.9,1.36,2.68,2.71,0.68,1.42,3.16,1.93,1.31,0.4,0.76,2.52,0.87,1.12,2.49,1.47,2.09,1.39,3.41,2.11,1.21,1.82,0.8,0.57,1.59,1.74,3.59,4.82,0.69,0.85,1.35,1.87,1.87,4.51,1.39,5.3,0.63,0.63,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.63,0.86,0.42,3.95,2.19,0.96,1.79,1.61,2.57,2.86,2.65,2.44,1.9,0.56,3.96,0.96,1.73,1.81,1.79,1.13,1.99,2.16,2.65,1.03,0.62,0.1,2.51,2.84,0.79,2.24,1.47,2.77,1.68,2.42,1.83,2.65,1.08,1.78,0.82,3.52,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.64,4.67,1.15,0.49,2.79,1.1,0.83,1.74,0.46,3.01,4.16,2.42,0.55,0.98,2.1,1.83,0.89,3.21,3.29,1.39,2.09,2.03,2.28,2.94,1,0.9,1.67,0.22,0.3,1.41,4.68,1.81,1.8,1.18,2.34,3.13,2.86,2.39,2.33,2.16,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.5,1.77,0.38,2.25,3.22,2.88,1.36,4.06,1.32,0.77,2.99,4.95,2.09,2.02,3.74,1.57,2.86,1.93,0.87,0.96,2.33,2.26,3.15,1.39,1.05,0.69,2.29,1.37,1.9,2.93,0.78,2.33,2.39,0.87,3.19,3.28,0.87,4.23,2.14,1.33,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.65,0.56,2,4.34,4.28,1.93,0.6,4.6,0.47,4.36,1.79,3.15,4.03,1.82,3.43,3.9,2.33,0.16,2.1,0.67,5.45,2.41,3.6,2.56,1.95,3.06,3.49,3.13,0.69,0.72,0.44,0.37,0.59,2.49,1.22,2.73,2.27,0.3,0.39,1.34,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.59,4.89,0.75,1.9,1.24,1.66,2.59,2.34,1.77,4.32,3.45,3.66,5.32,1.59,5.96,1.47,1.03,1.38,0.82,1.01,1.26,1.4,1.96,2.62,5.34,3.68,0.7,1.86,2.13,2.09,2.74,1.35,1.84,2.79,2.11,3.1,3.7,2.49,3.06,1.14,1.76,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.28,5.42,5.49,1.79,4.53,1.82,2.14,2.92,1.73,4.51,2.68,1.54,3.63,3.57,1.59,2.88,3.76,1.32,4.99,2.17,2.23,1.69,1.16,1.61,1.12,2.36,1.89,1.92,1.41,6.21,2.71,1.88,2.09,0.83,2.52,1.17,1.87,2,1.31,0.76,0.47,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,3.84,2.92,2.11,4.94,2.42,4.92,2.48,4.66,5.66,1.75,1.8,3.53,0.72,5.16,1.34,6.57,2.66,0.72,3.71,5.07,1.33,1.87,3.74,0.56,9,4.94,4.19,3.46,3.36,3.1,1.56,3.77,3.04,2.53,2.53,1.85,8.97,1.72,1.74,6.85,9.46,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,0.69,2.36,1.47,2.25,0.45,4.79,3.48,2.64,4.21,3.42,6.68,2.17,0.42,2.57,4.2,3.65,4.46,1.92,3.78,3.32,3.66,5.11,1.12,1.76,3.94,3.32,1.96,5.93,5.97,0.65,0.8,3.71,3.47,3.1,0.54,4.21,1.31,1.07,3.56,4.48,2.86,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,1.32,6.97,3.81,2.41,2.26,5.33,0.65,3.05,0.96,8.16,1.68,1.65,0.85,3.68,3.35,2.85,0.88,2.81,1.42,6.15,1.83,2.45,2.15,1.01,4.18,0.96,3.79,2.68,2.05,5.31,5.64,2.93,1.49,4.57,5.07,1.56,3.3,3.29,0.78,1.8,4.09,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,35.31,29.75,23.59,27.62,43.12,27.62,25.9,34.48,34.34,36.97,29.69,31.77,30.54,30.32,34.67,29.68,24.34,29.83,32.01,20.14,30.03,23.46,25.25,35.68,23.16,23.1,32.15,27.83,25.88,31.41,23.74,26.83,29.68,24.99,25.16,39.76,28.03,25.78,29.77,29.79,22.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883 Odt IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
