GROSMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO403247,Long,-2.8694188,Lat,51.91761,Elevation,420,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4030/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.06,4.43,1.01,6.23,6.29,3.52,7.62,-999,6.61,3.64,7.27,2.85,2.48,3.74,3.56,7.24,1.15,0.93,3.53,3.67,0.78,1.94,3.81,5.31,2.49,,,
February,,,4.42,0.37,3.73,3.26,5.29,1.08,2.39,-999,3.61,0.32,2.22,0.59,2.6,2.88,2.21,1.56,1.87,7.34,5.85,0.51,1.79,2.84,2.11,0.42,4.18,,,
March,,,2.99,3.24,0.52,3.48,5.14,0.09,1.72,1.88,2.98,2.87,1.23,0.26,1.04,1.32,10.04,1.71,1.44,2.08,5.01,2.45,1.13,3.74,2.43,0.96,2.83,,,
April,,,1.1,3.97,5.95,2.71,2.33,0.2,3.92,2.71,0.98,1.82,0.88,1.7,1.52,2.2,3.83,3.08,2.91,2.25,2.12,2.65,3.8,0.5,0.99,2.37,0.01,,,
May,,5.44,2.41,1.44,0.91,1.72,2.53,2.49,0.78,2.84,2.09,5.32,3.71,0.64,2.48,4.7,3.13,4.19,2.88,2.17,4.52,3.57,2.43,2.59,6.14,0.58,2.58,,,
June,,1.85,2.68,1.35,4.46,3.89,1.02,1.71,2.6,0.82,2.14,0.65,2.07,1.73,3.63,2.83,2.33,3.38,0.81,1.32,0.86,2.01,1.97,4.39,5.38,2.49,1.02,,,
July,,2.73,2.24,0.77,0.41,5.93,3.45,3.12,5.59,2.65,2.77,1.45,1.59,2.11,2.53,2.38,2.81,0.87,1.54,4.77,1.06,1.92,3.78,1.47,0.36,4.08,2.71,,,
August,,2.2,0.79,3.07,1.42,0.44,1.58,3.55,1.61,0.28,3.87,3.6,2.83,2.99,4.03,6.2,1.02,4.46,1.56,4.45,3.82,6.13,3.54,3.64,0.59,3.57,2.84,,,
September,,5.01,3.01,2.28,5.14,3.7,2.07,2.59,1.05,1.03,1.15,2.22,2.73,3.07,2.8,5.04,1.84,2.95,2.71,3.85,3.08,2.99,3.67,2.39,1.21,4.02,3.43,,,
October,,5.81,5.57,2.64,3.46,2.15,4.9,3.59,3.55,5.15,2.14,2.57,2.75,5.26,5.71,1.26,0.81,3.17,7.61,1.69,1.29,4.89,3.53,4.35,1.88,1.52,1.75,,,
November,,2.28,0.89,2.69,7.13,4.03,2.12,5.05,6.35,7.22,2.94,0.83,2.32,5.45,0.88,8.41,3.07,2,4.51,5.57,8.74,4.63,2.74,8.26,5.36,0.88,2.63,,,
December,,2.6,1.24,7.97,4.46,4.55,3.04,4.82,1.32,1.74,1.94,4.31,2,2.85,6.34,3.84,2.78,8,2.14,2.03,3.93,2.67,1.73,3.35,4.83,4.72,3.94,,,
Total,,,30.4,34.22,38.6,42.09,39.76,31.81,38.5,32.22,33.22,29.6,31.6,29.5,36.04,44.8,37.43,42.61,31.13,38.45,43.81,38.09,30.89,39.46,35.09,30.92,30.41,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 10687 GROSMONT Start 1932 end 1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and Is in Grosmont with match to one of the relationships to the church. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 1940 apportioned for snow but annual total left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
