MIDDLETON-HALL-NORFOLK (VICARAGE),,,,,,,,,,
Grid ref,TF6615915958,Long,0.45847296,Lat,52.715766,Elevation,114,ft,,
Station no,RR6650,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,1.49,1.25,3.93,1.53,1.51,
February,,,,,3.24,1.13,2.68,1.64,2.1,
March,,,,,1.54,2.59,2.04,1.41,2.69,
April,,,,,1.03,1.61,0.72,2.66,3.37,
May,,,,,1.4,1.52,1.34,3.57,1.64,
June,,,,,1.47,3.18,3.59,2.33,1.04,
July,,,,,3.37,0.82,0.96,3.25,3.68,
August,,,,,1.97,3.36,3,2.22,2.62,
September,,,,,3.28,3.35,1.09,0.86,1.9,
October,,,,,2.15,2.93,4.78,2.96,,
November,,,,,1.01,1.86,3.49,3.21,,
December,,,,,2.06,1.05,2.63,3.16,,
Total,,,,,24.01,24.65,30.25,28.8,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved Oct 1908,,,,,,,,,,
