MIDDLETON-HALL-NORFOLK,,,,,,,,,,,,,,,,,,,,
Grid ref,TF660163,Long,0.45629401,Lat,52.718886,Elevation,110,ft,,,,,,,,,,,,
Station no,RR6650,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.23,1.23,1.87,2.41,2.33,0.46,,,,,
February,,,,,,,,,,0.4,1.41,2.43,0.96,1.71,0.81,,,,,
March,,,,,,,,,,3.15,2.87,1.94,1.82,2.3,2.99,,,,,
April,,,,,,,,,,1.25,1.52,2.03,0.25,1.97,0.55,,,,,
May,,,,,,,,,,1.33,1.74,1.24,1.77,0.42,0.31,,,,,
June,,,,,,,,,,4.26,4.17,2.08,2.93,1.2,1.9,,,,,
July,,,,,,,,,,3.8,3.8,0.19,3.01,1.06,0.71,,,,,
August,,,,,,,,,,2.74,2.97,0.93,8.54,1.28,1.88,,,,,
September,,,,,,,,,,1.5,1.61,1.4,2.03,1.51,0.62,,,,,
October,,,,,,,,,,3.11,3.21,2.79,2.14,3.89,1.11,,,,,
November,,,,,,,,,1.08,1.82,2.11,3.21,3.02,1.07,2.7,,,,,
December,,,,,,,,,1.27,3.33,2.41,3.25,2.53,0.4,4.11,,,,,
Total,,,,,,,,,,27.92,29.05,23.36,31.41,19.14,18.15,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved Oct 1908,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
