STREATLEY-READING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU594805,Long,-1.1452797,Lat,51.520304,Elevation,150,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.07,0.88,3.48,3.9,3.45,3.87,4.03,1.23,1.87,5.47,3.57,1.98,4.25,1.24,5.28,1.48,3.36,0.44,,,,,,,,,
February,,,,0.98,1.11,1.79,3.57,1.64,1.6,2.22,2.13,0.97,1.77,1.59,2.07,2.11,2.22,1.46,1.57,3.39,3.02,,,,,,,,,
March,,,,0.74,2.79,0.8,2.09,2.6,1.68,1.35,1.63,1.33,2.14,2.38,0.59,1.11,3.69,2.11,0.85,1,1.12,,,,,,,,,
April,,,,0.82,1.79,0.5,1.37,2.82,1.72,1.32,0.42,3.06,1.87,0.44,1.49,1.5,2.89,2.45,2.07,2.43,1.93,,,,,,,,,
May,,,,1.33,1.96,1.6,1.22,2.34,0.92,2.89,1.26,0.29,2.28,1.75,1.23,2.4,0.63,1.53,3.25,3.44,,,,,,,,,,
June,,,2.15,4.5,0.73,1.91,3.03,1.49,0.56,1.43,0.18,2.25,2.44,2.19,1.06,2.98,2.06,1.79,1.66,3.23,,,,,,,,,,
July,,,1.55,0.92,0.32,2.09,1.85,3.26,1.74,0.49,0.61,3,4.94,2.07,1.46,5.52,1.23,2.71,0.74,3.83,,,,,,,,,,
August,,,2.33,3.15,0.63,2.93,3.61,2.26,4.04,1.34,1.18,1.02,2.07,2.18,1.52,2,5.04,2.6,4.31,5.66,,,,,,,,,,
September,,,1.58,3.99,1.46,0.25,5.8,2.16,3.77,4.44,1.7,4.67,0.95,2.75,3.25,1.86,5.31,1.46,1.11,2.5,,,,,,,,,,
October,,,3.28,4.14,1.3,6.6,1.82,2.46,2.62,1.32,3.02,1.18,3.71,2.39,3.34,6.4,1.36,1.58,3.04,1.11,,,,,,,,,,
November,,,0.66,1.57,2.74,2.92,1.53,0.82,1.42,2.74,1.3,0.43,3.3,2.36,3.12,3.67,2.97,4.66,2.86,0.6,,,,,,,,,,
December,,,1.94,1.54,0.64,2.39,2.33,1.22,5.09,4.22,2.12,1.33,4.76,0.46,1.94,1.04,5.62,1.76,1.54,0.62,,,,,,,,,,
Total,,,,27.75,16.35,27.26,32.12,26.52,29.03,27.79,16.78,21.4,35.7,24.13,23.05,34.84,34.26,29.39,24.48,31.17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Streatley Vicarage, Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
