DISTINGTON GILGARRAN HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY030228,Long,-3.502668,Lat,54.591046,Elevation,470,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,8.75,4.15,1.1,1.3,2.75,3.69,6.85,6,3.4,3.69,3.75,2.15,3.12,,,,,4.39,1.19,2.95,0.77,3.39,5.79,4.57,2.48,3.36,3.47,3.74,1.75,4.76,1.34,4.62,2.73,2.94,2.57,2.7,3.11,3.42,4.01,5.32,2.25,4.49,5.39,5.79,6.67,,,,,,,,,
February,,,,,,,,4,3.86,2.25,3.45,4.94,3.75,4.25,5.75,7.77,1.81,2.62,1.32,2.65,,,,,4.18,0.71,2.36,2.36,3.69,2.74,3.18,1.89,1.05,4.25,3.06,1.96,2.74,1.86,1.99,2.03,5.94,4.82,2.83,2.54,6.05,7.18,4.2,1.5,4.22,0.35,3.09,0.53,,,,,,,,,
March,,,,,,,,2.3,1.88,2.75,2.4,3.75,3.5,2.56,5.25,5.43,4.74,1.83,2.95,3,,,,,2.4,4.35,5.12,5.49,1.54,3.27,1.33,2.1,2.07,6.53,3.45,3.8,2.28,4.05,3.18,3.51,3.19,1.31,5.9,4.69,4.19,2.27,1.15,1.61,2.26,3.01,6.59,6.27,,,,,,,,,
April,,,,,,,,2.63,2.22,1.5,3.55,2.35,4.15,2.5,1.5,3.29,2.57,3.2,2.36,2.63,,,,,1.98,2.44,2.22,2.52,4.06,3.68,2.53,3.25,2,1.68,2.97,3.13,1.5,3,1.39,3.19,2.63,4.34,0.81,4.85,1.49,2.85,2.94,1.65,0.99,2.83,4.08,1.39,,,,,,,,,
May,,,,,,,,3.87,2.5,2.5,1.8,3.85,3.5,2.5,3.75,2.51,5.92,1.85,1.87,3.37,,,,,4.07,0.79,0.58,2.42,2.85,4.29,3.85,1.39,2.67,3.63,3.06,3.89,4.94,3.75,2.99,2.03,2.58,2.96,2.33,3.8,2.38,1.54,3.14,2.63,1.7,1.61,5.02,3.47,,,,,,,,,
June,,,,,,,,4.67,2.73,3.5,2.85,5.55,5.85,4.5,1,1.98,0.9,0.63,0.95,1.36,,,,,4.17,0.76,3.17,4.22,3.19,1.22,3.55,2.23,1.74,2.23,1.97,2.28,2.63,7.2,2.97,2.9,1.25,4.88,5.77,2.82,1.27,1.12,3.75,2.98,1.68,3.52,2.08,0.52,,,,,,,,,
July,,,,,,,,4.95,0.85,7.1,4.4,4.75,9.25,2.75,5.25,4.99,4.74,4.72,5.57,3.17,,,,,3.21,4.37,4.45,2.03,0.72,4.24,2.41,0.79,3.52,5.87,3.19,2.97,2.43,1.99,3.62,6.88,3.86,1.19,3.35,0.7,4.86,5.26,3.8,1.45,3.78,0.96,6.22,3.04,,,,,,,,,
August,,,,,,,,6.5,4.9,4.7,1.25,5.64,4.35,5,2.75,2.58,3.29,1.43,3.45,5.9,,10.13,,,6.1,6.36,3.1,5.26,6.28,1.52,7.54,5.03,3.3,5.05,4.76,3.56,5.32,4.71,5.07,3.02,6.52,2.56,5.33,3.02,4.24,1.11,2.78,7.24,4.6,3.01,4.07,6.62,,,,,,,,,
September,,,,,,,,3.36,4.56,6.7,5.4,2.03,3.75,4,5.5,7.91,8.25,4.96,2.15,3.33,,7.32,,,0.46,1.78,4.42,4.37,3,5.38,3.92,3.06,1.87,5.68,3.61,3.19,1.46,0.66,5.14,2.86,0.81,3.17,1.77,2.56,2.38,2.36,2.83,6.01,10.09,4.83,2.9,2.67,,,,,,,,,
October,,,,,,,,8.5,4.91,3.05,1.15,2.25,3,4.75,3.74,4.27,5.11,4.2,6,4.74,,7.81,,,3.25,5.42,7.14,3.2,3.79,3.26,5.26,6.68,3.43,7.88,2.83,3.1,5.11,8.12,1.68,9.6,1.51,3.76,4.67,3.88,1.72,1.59,6.43,6.75,6.18,1.64,2.06,3.28,,,,,,,,,
November,,,,,,,,10.52,3.25,2.1,5.25,6.75,6.05,7.5,2.5,3.98,6.64,2.02,5.46,2.89,,4.86,,,5.82,4.12,2.12,8.4,4.09,4.68,4.57,4.65,2.13,3.88,3.76,4.19,3.73,5.02,3.41,1.87,5.41,6.38,5,4.5,5.96,1.85,5.38,4.02,3.22,2.66,3.85,2.06,,,,,,,,,
