"DENSHAW (ROCHDALE ROAD)",,,,,,,,,,,,
Grid ref,SD973106,Long,-2.042264,Lat,53.591971,,,,,,,
Station no,3103,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.95,4.82,2.08,4.61,4.38,6.11,5.71,5.18,4.82,6.07,,
February,3.86,1.59,2.18,3.14,3.55,2.73,4.09,7.48,0.61,3.44,,
March,5.93,2.80,2.79,3.05,3.06,1.72,5.10,2.20,2.57,1.75,,
April,3.17,4.18,4.10,1.21,3.05,3.67,0.72,1.97,4.07,2.78,,
May,3.31,2.70,3.08,3.94,5.37,2.94,1.78,5.56,2.68,2.29,,
June,1.37,4.00,3.32,3.79,4.24,4.27,2.79,5.91,3.03,2.13,,
July,5.04,3.71,7.66,6.66,1.33,7.21,5.72,5.63,4.42,9.51,,
August,6.03,4.93,5.87,6.89,1.02,13.21,6.48,5.67,0.79,6.04,,
September,3.17,4.35,3.30,6.16,3.84,5.00,6.85,6.05,0.58,3.86,,
October,1.51,6.86,2.55,10.20,2.38,3.57,7.61,4.32,4.72,5.56,,
November,9.69,2.92,5.35,7.87,2.44,2.12,3.48,1.88,5.52,7.44,,
December,8.49,4.66,3.08,9.21,7.04,5.61,5.15,5.01,7.38,5.21,,
Total,57.52,47.52,45.36,66.73,41.70,58.16,55.48,56.86,41.19,56.08,,
Calc annual,57.52,47.52,45.36,66.73,41.70,58.16,55.48,56.86,41.19,56.08,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
