DORCHESTER-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU579943,Long,-1.1646249,Lat,51.644527,Elevation,169,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,1.82,2.09,1.51,3.56,1.94,0.75,0.62,1.83,1.42,0.4,1.71,1.76,2.15,0.56,1.9,0.57,2.43,2.78,1.27,0.72,2.6,2.53,,,,,
February,,,,2.95,1.19,2.7,0.55,0.8,1.3,1.51,0.56,0.06,1.17,2.71,1.91,0.11,0.36,2.55,1.51,1.87,3.54,1.18,1.08,1.12,2.79,,,,,
March,,,,0.91,1.22,1.14,1.22,1.32,2.57,1.55,0.85,1.53,0.76,0.33,1.36,1.57,2.82,2.98,0.98,0.33,0.73,1.61,1.25,3.05,1.3,,,,,
April,,,,0.96,2.02,1.63,1.47,1.15,1.33,2.1,1.06,1.32,0.77,0.05,1.46,1.66,0.6,1.35,1.4,2.32,0.79,2.01,1.24,2.19,1.4,,,,,
May,,,,2.25,0.52,1.83,3.47,1.2,1.19,2.86,1.5,2.16,1.15,0.7,1.62,0.51,0.26,0.91,2.13,1.55,1.32,1.54,1.95,3.18,3.44,,,,,
June,,,,2.12,2.39,1.48,0.94,1.35,2.21,0.92,1.89,1.22,2.08,0.68,2.74,0.34,3,2.46,1.79,1.39,2.21,1.29,2.02,5.81,1.14,,,,,
July,,,,2.27,2.2,0.11,2.76,0.65,5.33,2.35,3.18,2.27,2.37,3.06,2.98,3.2,0.8,1.05,0.56,0.58,1.18,2.79,0.6,2.54,2.51,,,,,
August,,,,0.86,1.09,0.81,1.21,0.94,1.35,2.21,2.02,4.86,2.5,2,2.3,3.01,2.94,2.92,0.88,2.6,2.71,1.89,2.65,3.42,2.02,,,,,
September,,,,4,1.47,3.39,1.77,1.87,0.76,1.11,0.86,1.69,2.68,0.73,2.06,1.76,5.18,2.89,0.46,1.9,0.27,2.07,1.78,2.22,1.54,,,,,
October,,,,1.85,1.01,3.02,3.53,1.64,0.77,2.11,1.25,6.42,2.6,3.63,3.69,3.37,2.7,1,3.5,2.13,2.11,1.16,1.5,6.85,0.97,,,,,
November,,,,2.83,0.66,3.43,2.28,2.37,3.57,0.5,1.57,2.01,1.64,1.7,4.91,4.3,0.96,0.76,2.6,2.56,1.46,0.53,2.54,1.88,1.7,,,,,
December,,,,0.68,2.49,1.06,4.54,1.04,1.48,1.3,0.47,3.31,0.79,2.06,1.97,1.99,3.15,2.95,2.19,1.1,3.29,3.51,1.5,1.19,2.28,,,,,
Total,,,,23.5,18.35,22.11,27.3,16.27,22.61,19.14,17.04,28.27,18.91,19.36,28.76,23.97,23.33,23.72,18.57,20.76,22.39,20.85,18.83,36.05,23.62,,,,,
