"GALASHIELS CLOVENFORDS",,,,,,,,,,,,
Grid ref,NT433348,Long,-2.901478,Lat,55.603494,,,,,,,
Station no,5065,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.40,1.30,3.50,3.17,,
February,,,,,,,2.58,1.66,2.40,1.93,,
March,,,,,,,1.98,2.45,5.95,5.34,,
April,,,,,,,1.50,2.48,1.27,3.35,,
May,,,,,,,6.07,3.95,2.18,2.32,,
June,,,,,,,1.65,3.88,1.38,1.80,,
July,,,,,,,1.73,3.43,2.51,3.30,,
August,,,,,,,6.61,5.04,3.13,1.97,,
September,,,,,,,0.95,0.93,3.13,2.49,,
October,,,,,,,6.40,6.42,1.90,4.94,,
November,,,,,,,4.05,2.60,1.93,0.90,,
December,,,,,,,2.05,5.18,1.17,4.10,,
Total,,,,,,,37.97,39.32,30.45,35.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,37.97,39.32,30.45,35.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
