CHEWTON MENDIP THE PRIORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST590526,Long,-2.589099,Lat,51.271066,Elevation,580,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.1,7.15,6.53,3.83,2.7,9.14,6.03,5.51,7.49,3.58,7.63,2.97,4.81,0.98,1.46,2.78,4.84,5.73,4.64,6.22,3.64,1.4,1.41,5.69,5.22,2.72,3.4,3.73,5.07,1.38,2.34,1.22,7.29,6.65,3.51,2.19,5.33,4.21,1.23,7.12,2.18,2.71,2.09,5.15,2.06,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,5.19,3.46,5.24,2.77,4.09,5.31,1.72,4.13,3.01,5.57,3.33,2.36,6.02,5.34,5.74,2.92,5.4,2.88,5.53,1.32,1.12,1.33,3.24,0.9,0,2.58,6.23,5.41,0.24,1.01,5.15,3.63,4.21,6.41,1.9,1.85,2.52,5.7,1.52,4,3.18,2.42,1.1,7.3,4.01,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,6.15,4.37,1.74,2.23,3,3.2,4.71,2.51,1.72,5.92,3.69,2.49,1.88,2.81,3.81,3.02,1.56,4.17,1.61,3.03,3.49,4.9,4.92,2.63,2.91,1.04,0.76,3.99,4.76,4.85,5.06,1.17,1.51,2.09,3.19,3.31,5.46,2.94,6.06,3.2,1.63,4.17,4.7,0.97,3.64,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,5.21,3.35,2.67,0.88,6.45,3.48,0.66,3.36,2.34,4.99,4.13,3.88,3.73,2.85,1.46,5.81,0.96,2.26,3.64,3.77,2.6,3.64,4.51,2.89,1.53,1.95,0.15,3.33,3.49,1.16,5.11,2.17,5,2.71,3.24,1.84,4.51,2.47,3.41,1.23,5.38,3.58,3.59,3.34,3.52,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.77,1.69,6.24,2.15,2.08,3.19,2.79,1.2,3.9,0.7,3.94,8.44,4.19,0.98,3.52,1.45,1.88,2.95,3.83,6.2,2.48,1.71,3.74,2.32,3.97,1.52,1.16,4.03,0.85,0.25,2.01,4.91,2.92,2.69,1.31,3.02,3.12,4.32,0.18,4.88,3.41,2,2.72,3.09,1.52,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.29,1.25,2.45,0.98,2.06,5.72,1.54,1.51,4.99,1.57,2.58,3.89,7.02,1.79,3.91,5.48,3.53,3.58,1.32,1.13,1.58,3.41,1.26,4.15,2.08,3.15,0.97,2.87,1.29,2.62,2.67,2.98,1.68,3.54,1.78,4.02,5.22,1.39,5.04,3.29,4.21,1.3,4,7.21,2.39,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,5.01,1.55,1.77,1.82,6.9,4.01,4.88,1.83,7.48,1.48,5.69,1.86,5.1,6.36,3.48,6.98,4.87,4.77,0.94,2.81,1.85,9.72,3.01,4.95,4.18,4.47,6.22,6.1,5.53,1.69,1.8,0.7,0.5,1.63,2.47,2.56,4.53,3.63,1.22,1.52,3.74,4.38,4.04,3.79,0.05,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2,6.56,2.46,2.92,3.25,2.72,3.85,6.26,1.88,6.12,6.39,8.32,8.54,1.1,8.41,4.44,3.99,3.31,2.69,2.13,1.45,3.24,6.68,4.07,8.51,5.58,2.25,4.38,5.07,3.16,7.88,3.14,1.02,3.91,3,3.69,6.98,4.06,5.49,3.94,4.36,6.42,3.56,7.7,3.85,10.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.79,4.56,5.34,2.87,5.06,3.62,4.3,7.82,5.49,8.38,3.71,3.31,6.19,4.97,2.64,3.68,5.82,2.75,7.43,1.93,4.98,1.6,1.53,1.88,3.13,4.86,3.63,2.87,1.56,9.33,5.03,1.66,5.13,1.72,2.9,1.86,4.03,3.1,1.97,1.51,1.17,2.65,4.27,0.26,1.64,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,6.32,5.26,2.67,8.38,2,6.15,3.77,7.89,7.32,3.11,3.67,7.16,2.03,5.42,2.93,6.72,3.93,1.49,7.47,5.14,3.04,2.05,4.51,3.01,10.68,4.5,5.06,4.53,5.59,4.27,2.18,6.25,3.83,4.09,3.04,3.2,10.44,2.07,3.09,8.16,6.89,2.35,7.62,7.62,4.41,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,1.33,2.44,4.85,3.4,2.61,6.69,4.78,3.61,7.02,5.3,8.87,4.22,0.65,3.93,5.42,6.54,5.99,2.96,5.13,6,4.05,7.58,2.51,4.73,4.91,3.29,3.34,6.8,7.4,1.26,2.05,4.45,4.4,4.55,1.24,4,2.9,3.4,3.93,5.48,4.15,1.81,1.82,5.81,5.93,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
