CHEWTON MENDIP THE PRIORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST590526,Long,-2.589099,Lat,51.271066,Elevation,580,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,7.01,1.89,5.57,3.44,1.8,4.42,7.6,6.78,5.57,4.81,2.87,4.95,4.81,6.4,5.1,9.91,1.62,6.17,3.22,4.46,3.63,3.28,1.05,5.17,6.9,5.48,6.74,3.12,4.19,5.9,7.66,3.93,2.91,4.15,3.56,9.05,1.63,0.78,4.45,4.53,0.88,3.09,4.47,5.96,3.83,3.86,5.19,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.36,5.49,6.85,5.8,1.24,3.25,3.83,2.06,0.35,6.19,9.36,0.6,6.75,3.14,4.8,4.67,1.54,0.75,3.62,0.11,3.99,0.45,3.49,2.96,7.6,1.77,2.7,3.36,4.05,0.33,2.4,1.16,4.39,4.83,1.71,3.02,2.55,8.95,5.43,1.11,3.02,4.73,3.1,0.36,4.66,5.12,0.37,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,5.25,8.18,1.68,5.95,3.81,1.77,5.81,3.64,3.65,4.15,2.24,1.89,0.57,1.38,5.03,4.57,0.23,2.59,1.09,2.88,4.38,3.06,1.33,4.25,4.85,0.38,1.93,3.59,4.56,2.6,1.11,0.4,1.21,1.4,7.61,2.21,1.85,2.26,4.72,5.27,1.29,4.17,1.44,1.95,3.32,1.76,4.71,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,4.37,2.9,2.09,2.66,2.77,3.03,2.98,6.27,1.33,3.93,3.35,5.16,3.41,3.72,2.45,1.88,0.99,2.71,2.66,4.58,2.09,3.37,6.16,3.15,3.72,0.26,4.33,2.81,1.52,1.53,1.22,3.01,1.16,3.02,3.09,1.67,1.93,3.84,4.74,2.29,3.31,0.65,2.02,2.09,0.17,1.95,3.05,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,3.44,2.59,4.4,4.3,2.05,2.18,1.28,2.93,2.67,1.26,2.09,6.73,4.74,3.27,1.4,1.19,2.6,2.6,4.12,6.54,2.02,1.52,1.28,1.08,2.58,2.41,1.03,3.03,1.83,6.09,3.27,1.47,3.51,5.85,2.95,4.73,5.13,2.29,3.38,4.61,2.49,3.78,4.88,0.81,2.91,3.76,2.07,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.08,2.48,0.82,3.88,5.89,1.57,1.35,4,0.36,2.83,0.76,3.56,0.01,3.38,4.62,2.71,1.82,0.62,3.68,1.79,1.61,2.18,4.17,2.84,1.66,1.91,3.76,0.69,2.19,0.35,1.99,3.29,5.15,4.75,2.82,2.34,0.46,2.81,1.02,3.07,2.74,5.6,3.57,2.96,2.89,3.53,2.53,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.41,0.6,4.39,5.31,1.57,4.24,6.66,3.28,7.83,0.93,5.1,2.43,4.83,5.61,6.24,5.39,3.39,2.54,3.61,4.99,4.64,2.88,1.25,0.53,7.57,3.89,3.58,4.69,4.67,2.33,3.41,3.49,4.12,1.74,1.97,3.55,2.17,1.56,5.72,2.04,0.84,6.97,4.65,0.25,4.25,6.47,3.38,2.24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,10.75,1.37,3.88,2.78,6.75,10.78,3.23,4.1,2.09,2.56,4.83,5.89,6.04,4.38,3.44,6.08,5.41,4.7,7.22,5.34,1.09,1.97,4.22,2.05,1.02,0.97,3.65,4.05,0.27,7.16,6.83,5.17,3.16,2.93,4.82,1.24,3.81,2.99,7.55,7.18,7.62,4.26,4.31,1.03,5.14,5.22,4.98,1.33,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,0.94,3.38,2.73,1.98,3.05,3.88,9.47,2.39,1.88,2.62,3.65,4.62,4.36,5.05,2.75,8.44,1.73,0.65,4.58,1.48,7.29,2.9,4.62,6.49,4.28,2.48,2.74,1.49,2.56,0.72,2.62,3.67,3.78,3.53,6.14,2.26,3.07,2.02,6.07,3.32,4.31,4.97,5.82,3.65,5.45,6.2,6.79,0.31,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,6.35,3.27,3.62,5.08,8.25,8.54,2.97,2.39,3.18,1.37,1.88,6.76,7.44,4.79,6.11,3.79,8.02,7.96,4.31,1.73,8.16,3.27,3.37,5.39,3.21,4.46,8.38,3.77,5.29,2.59,4.82,3.79,6.59,4.96,1.48,0.76,4.98,6.75,1.91,0.73,5.21,2.83,5.14,2.01,3.24,3.91,3.68,4.54,9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
