LOCH NEVIS (INVERIE GARDENS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM774994,Long,-5.67,Lat,57.031814,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,7.6,17,6.1,12,9.5,4.2,6.2,13.7,10.4,12,5.1,6.5,,,,,,,,,,,,,
February,,,,,,4.8,4,9.4,21.1,5.1,-999,10.6,7.2,6,2.7,2.8,4.6,,,,,,,,,,,,,
March,,,,,,4.4,2,8.1,13,7.7,-999,5.7,4,1.9,11,1.8,10,,,,,,,,,,,,,
April,,,,,,2.7,1,9.5,6.3,2,6.9,2.3,3.1,1.8,9.1,5,3.3,,,,,,,,,,,,,
May,,,,,,1.4,2,1.2,7.2,0,8.5,2.1,5,3.4,1.1,7.4,3,,,,,,,,,,,,,
June,,,,,,2.9,2,5.3,6.2,3.7,5.4,2.4,9.7,5.6,3.4,4.1,5.8,,,,,,,,,,,,,
July,,,,,,5,4,5.5,3.4,5,4.4,6.8,3.5,5,4.7,4.1,4.6,,,,,,,,,,,,,
August,,,,,4.6,,7,5.1,11.9,4,1.7,6,4.9,9.1,8.2,11.2,5.7,,,,,,,,,,,,,
September,,,,,10.1,,9,7.9,6.1,11,7.1,2.7,10.7,8.5,13.5,5.5,3.9,,,,,,,,,,,,,
October,,,,,4.4,,7,5.9,4,7.8,8.7,6.5,9.8,6.8,14.3,6.2,5.4,,,,,,,,,,,,,
November,,,,,4.3,,9,6.9,13.4,13.4,4.5,4.4,8.2,7.7,6.2,6.7,1.7,,,,,,,,,,,,,
December,,,,,9,,14,12,7.8,13.4,5.6,10.3,3.2,7.5,4.6,7.8,4.9,,,,,,,,,,,,,
Total,,,,,,,78,82.9,112.4,82.6,60.1,66,83,73.7,90.8,67.7,59.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 Feb & March Bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
