"LOCH NEVIS (INVERIE GARDENS)",,,,,,,,,,,,
Grid ref,NM774994,Long,-5.670000,Lat,57.031814,,,,,,,
Station no,5716,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.87,8.36,6.91,7.75,4.27,,12.33,8.54,7.79,3.84,,
February,4.79,5.75,6.45,5.01,4.19,,6.02,6.18,4.39,5.83,,
March,4.91,6.46,3.13,5.58,,,6.16,2.48,6.99,2.16,,
April,6.32,4.93,6.42,3.40,5.41,,3.54,4.68,4.83,6.51,,
May,0.79,4.43,3.77,4.29,4.18,,1.19,6.61,1.70,3.34,,
June,2.44,6.01,1.52,6.59,5.31,,4.69,2.48,5.98,6.20,,
July,7.74,7.08,6.81,6.54,1.72,,7.06,2.60,10.28,4.58,,
August,5.34,8.37,8.79,7.25,1.99,,6.81,5.76,7.22,5.24,,
September,6.51,8.26,7.96,9.86,11.40,,6.71,4.78,4.28,5.56,,
October,3.77,7.53,6.66,13.57,,,12.87,11.01,11.89,1.29,,
November,8.39,4.37,15.84,10.49,,,4.45,3.53,9.08,7.37,,
December,14.11,9.72,9.11,12.36,,,10.79,6.48,10.21,9.84,,
Total,74.98,81.27,83.37,92.69,,,82.62,65.13,84.64,61.76,,
Calc annual,74.98,81.27,83.37,92.69,38.47,0.00,82.62,65.13,84.64,61.76,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,0.00,0.00,0.00,-0.00,,
