LOCH NEVIS (INVERIE GARDENS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM774994,Long,-5.67,Lat,57.031814,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.26,10.2,12.46,5.05,1.43,1.72,8.63,7.76,11.95,6.31,10.67,5.68,8.65,13.61,7.1,9.87,8.36,6.91,7.75,4.27,,12.33,8.54,7.79,3.84
February,,,,,,3.16,6.73,7.46,11.01,3.96,5.7,3.89,10.45,4.19,9.76,8.65,0,8.35,10.16,7.24,4.79,5.75,6.45,5.01,4.19,,6.02,6.18,4.39,5.83
March,,,,,,4.11,1.92,17,6.21,6.32,2.65,1.94,6.19,4.73,8,5.49,1.9,8.03,5.07,7.43,4.91,6.46,3.13,5.58,,,6.16,2.48,6.99,2.16
April,,,,,,2.37,2.85,2.39,4.94,4.07,4.48,2.27,9.88,4.39,4.06,6.95,11.86,6.7,10.68,7.69,6.32,4.93,6.42,3.4,5.41,,3.54,4.68,4.83,6.51
May,,,,,,2.83,3.64,5.21,2.34,2.96,2.26,2.56,4.46,9.35,4.85,1.75,1.73,2.67,3.93,2.33,0.79,4.43,3.77,4.29,4.18,,1.19,6.61,1.7,3.34
June,,,,,,3.35,5.42,9.09,3.74,2.11,3.08,5.01,7.21,7.1,7.83,7.87,6.16,4.34,2.59,7.05,2.44,6.01,1.52,6.59,5.31,,4.69,2.48,5.98,6.2
July,,,,,,5.19,6.54,7.39,9.49,7.43,6.99,8.97,5.02,2.34,5.69,10.21,6.19,5.33,3.99,8.19,7.74,7.08,6.81,6.54,1.72,,7.06,2.6,10.28,4.58
August,,,,,,6.23,4.93,5.33,3.55,8.97,11.59,12.1,7.45,4.81,4.46,7.28,0,7.7,8.99,8.42,5.34,8.37,8.79,7.25,1.99,,6.81,5.76,7.22,5.24
September,,,,,,4.21,7.84,8.05,3.55,7.92,5.59,10.6,7.07,6.45,7.39,9.28,11.62,12.86,6.86,12.71,6.51,8.26,7.96,9.86,11.4,,6.71,4.78,4.28,5.56
October,,,,,,10.42,4.56,15.45,1.5,5.72,8.03,13.21,15.26,11.05,5.47,1.56,5.44,11.42,10.16,9.77,3.77,7.53,6.66,13.57,,,12.87,11.01,11.89,1.29
November,,,,,,5.06,2.79,16.66,10.63,12.05,7.48,4.89,8.33,8.69,1.85,7.41,15.15,8.47,9.32,6.45,8.39,4.37,15.84,10.49,,,4.45,3.53,9.08,7.37
December,,,,,,13.62,2.72,8.75,5,10.78,8.48,13.65,5.95,10.84,5.82,8.14,4.68,10.93,14.62,5.54,14.11,9.72,9.11,12.36,,,10.79,6.48,10.21,9.84
Total,,,,,,64.81,60.14,115.24,67.01,73.72,68.05,87.72,95.03,85.89,71.49,85.26,70.41,95.45,99.98,89.92,74.98,81.27,83.37,92.69,,,82.62,65.13,84.64,61.76
