"LOCH NEVIS, INVERIE",,,,,,,,,,,,
Grid ref,NM774994,Long,-5.670000,Lat,57.031814,,,,,,,
Station no,5716,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.70,5.41,9.64,12.61,10.25,8.64,14.05,8.94,9.67,9.73,,
February,4.44,4.06,2.60,13.14,7.71,10.25,7.53,8.35,10.00,5.55,,
March,1.11,5.71,10.98,12.24,4.47,8.52,6.09,9.01,8.32,1.15,,
April,7.55,6.02,3.92,4.87,10.80,3.85,5.28,4.39,3.58,4.72,,
May,4.42,1.42,6.56,4.27,5.87,5.22,4.81,4.03,4.60,5.68,,
June,3.52,4.34,1.66,4.03,5.50,1.98,2.19,7.82,5.82,1.09,,
July,7.27,3.14,5.49,7.58,4.14,6.94,8.56,3.55,4.35,8.63,,
August,8.38,7.44,6.33,12.00,6.85,6.84,7.00,10.38,8.75,6.67,,
September,10.09,6.22,8.41,6.20,7.40,10.13,6.31,3.08,12.05,4.73,,
October,12.91,10.66,8.19,12.69,7.23,8.33,9.32,4.42,1.80,13.30,,
November,5.95,9.22,5.42,11.83,8.62,8.45,10.15,8.40,9.04,7.67,,
December,18.50,11.14,9.26,6.80,9.00,8.93,13.43,9.13,10.79,7.84,,
Total,95.84,74.78,78.46,108.26,87.84,88.08,94.72,81.50,88.77,76.76,,
Calc annual,95.84,74.78,78.46,108.26,87.84,88.08,94.72,81.50,88.77,76.76,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
