CRUMPSALL 2 1/4 MILES N OF MANCHESTER,,,,,,,,,,
Grid ref,SD834026,Long,-2.2514,Lat,53.5205,Elevation,292,ft,,
Station no,RR2148,,,,,,,,,
,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,1.7,2.39,1.29,1.44,1.72,0.69,2.6,2.9,
February,,0.53,2.93,3.28,0.62,1.86,2.22,0.93,1.82,
March,,3.88,4.31,2.38,2.85,1.02,0.77,4.44,1.6,
April,,3.52,0.75,1.49,1.54,1.76,1.73,1.01,3.17,
May,,2.88,1.81,2.62,1.55,4.12,0.17,1.69,0.79,
June,,1.2,1.45,2.87,3.29,3.06,0.19,2.03,2.03,
July,,1.87,8.14,5.21,0.98,0.52,3.04,2,10.1,
August,,3.28,3.98,5.92,1.79,4.1,2.22,4.08,3.45,
September,,4.28,1.56,4.58,4.51,1.77,2.34,3.12,2.92,
October,,3.32,3.35,3.66,6.64,4.21,3.6,4.42,2.54,
November,,4.44,4.19,1.9,4.95,6.21,2,2.44,2.21,
December,,3.86,1.44,4.3,6.25,2.58,2.87,3.77,4.57,
Total,,34.76,36.3,39.5,36.41,32.93,21.84,32.53,38.1,
,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-019.csv - duplicate of  TYRain_1820-1829_C_pt1-page-056.csv,,,,,,,,,,
NGR for Crumpshall House which is near in elevation,,,,,,,,,,
