ELLON (AUCHMACOY HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ9929930826,Long,-2.0133,Lat,57.3679,Elevation,87,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,3.1,2.25,1.54,2.72,1.42,1.97,1.85,2.59,6.25,5.54,2.08,3.73,1.97,4.74,4.68,2.15,2.45,4.69,1.26,3.56,,,
February,,,,,,,,,0.44,1.68,1.29,2.67,0.36,3.56,0.91,2,2.19,3.29,1.17,2.16,2.39,3.83,2.82,1.29,2.52,2.63,3,,,,
March,,,,,,,,,2.48,0.38,1.26,0.69,3.34,1.84,1.15,2.18,1.19,3.49,0.87,2.15,2.24,1.88,1.3,0.75,1.37,1.05,2.37,,,,
April,,,,,,,,,1.84,2.19,2.91,1.27,3.83,1.61,4.43,3.77,0.98,1.41,0.4,1.01,2.28,2.61,1.16,1.98,3.04,1.72,0.84,,,,
May,,,,,,,,,0.99,1.46,1.27,2.59,1.72,0.87,3.13,1.73,1.13,1.62,2.28,1.03,1.57,2.33,2.33,3.61,3.27,3.35,3.16,,,,
June,,,,,,,,,2.53,1.95,1.7,2.19,0.67,1.22,1.46,3.16,0.79,1.63,3.15,1.19,0.38,0.86,0.92,2.36,2.5,3.2,2.12,,,,
July,,,,,,,,,1.57,2.73,2.34,3.73,2.52,2.94,2.01,2.02,4.38,3.35,4.3,7.48,6.61,3.63,2.04,1.96,3.06,2.21,5.45,,,,
August,,,,,,,,,1.77,2.36,7.09,1.52,1.71,1.35,3.71,2.32,1.01,2.35,1.01,1.31,2.51,4.96,1.71,4.08,2.21,3.62,2.76,,,,
September,,,,,,,,,3.05,1.67,4.68,1.47,3.37,0.7,2.42,4.71,2.57,1.24,2.8,2.6,2.81,0.83,2.41,3.35,2.04,2.14,4.1,,,,
October,,,,,,,,3.57,2.41,4.61,4.1,1.52,5.62,4.84,3.47,3.44,1.93,3.04,2.85,3.53,3.33,5.75,4.59,2.28,3.53,4.61,0.86,,,,
November,,,,,,,,3.87,3.52,2.69,3.39,2.97,1.07,3.27,3.09,4.82,1.71,2.04,2.38,3.89,6.97,5.48,0.85,4.2,3.83,1.46,7.11,,,,
December,,,,,,,,2.1,2.96,4.03,2.62,1.88,1.3,1.83,4.82,3.82,2.07,4.45,3.48,2.27,2.89,1.44,1.82,1.42,2.98,5.8,3.55,,,,
Total,,,,,,,,,26.66,28,34.19,25.22,26.93,26,32.45,36.56,26.2,33.45,26.77,32.35,35.95,38.34,26.63,29.43,32.8,36.48,36.58,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,835850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
