MARTON VICARAGE,,,,,,,,,,,,,,,,,,
Grid ref,SE600683,Long,-1.084,Lat,54.107,Elevation,200,ft,,,,,,,,,,
Station no,RR4027,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906
January,1.32,2.12,0.43,0.79,1.87,1.93,3.06,0.65,0.81,,2.08,3.67,0.46,0.82,1.87,2.08,0.69,2.21
February,0.91,0.65,0.03,1.05,1.40,3.25,0.77,0.74,2.65,,1.06,2.84,1.85,1.38,1.10,1.44,0.82,1.68
March,2.06,1.34,1.42,0.90,0.99,1.42,2.61,2.20,2.37,,0.96,0.54,1.60,0.96,2.21,1.82,2.08,1.11
April,1.87,0.97,1.79,1.66,0.58,2.19,1.20,0.78,1.42,,2.03,0.82,1.60,1.62,1.69,1.92,2.51,1.13
May,2.14,2.57,1.41,2.75,2.23,1.17,0.66,0.43,1.18,,4.07,1.34,1.43,2.40,4.37,3.03,1.22,1.98
June,0.32,2.47,0.59,4.46,1.31,5.38,3.50,1.54,2.25,,1.01,1.75,0.97,2.05,1.77,0.74,1.43,1.27
July,1.90,2.48,6.79,1.24,2.69,3.72,4.86,1.71,0.80,,1.58,1.17,0.97,2.53,3.32,1.50,1.40,1.37
August,4.11,2.85,3.42,3.36,1.85,3.03,2.24,1.12,4.15,,1.22,3.98,1.50,2.28,2.34,3.79,3.24,2.65
September,0.84,2.26,1.42,1.22,1.59,1.12,0.51,2.54,2.99,,3.08,0.98,1.08,0.61,3.25,1.44,2.78,0.45
October,3.84,1.17,2.84,5.41,2.54,3.84,3.17,4.38,1.51,,2.21,5.01,2.11,2.15,6.21,0.61,0.85,5.27
November,0.78,3.24,2.51,1.26,3.68,1.54,3.79,2.11,2.69,,0.95,2.76,4.01,2.52,1.36,1.91,3.51,2.85
December,0.63,0.85,2.15,0.75,1.22,2.07,1.99,3.39,2.00,,2.58,2.49,3.68,1.82,1.35,1.62,0.30,1.55
Total,20.72,22.97,24.80,24.85,21.95,30.66,28.36,21.59,24.82,,22.83,27.35,21.26,21.14,30.84,21.90,20.83,23.52
,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/040,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/185,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/083,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# The 1898 total figure is taken from another site and has been omitted.,,,,,,,,,,,,,,,,,,
