"LAIRG STATION, SUTHERLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 58291 03930,Long,-4.399461,Lat,58.001912,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,3.54,2.8,4.84,4.84,2.35,5.11,3.7,,1.66,-999,3.09,3.05,4.24,1.58,,1.75,2.05,1.91,4.03,3.15,,,,,,,,
February,,,3.13,1.39,0.78,1.96,3.29,5.2,2.7,,3.29,-999,4.8,2.41,1.05,2.22,0.5,0.41,1.36,4.17,2.22,3.76,,,,,,,,
March,,,1.4,2.15,3.34,1.19,3.12,2.63,4.86,,1.33,3.54,6.99,2.44,1.64,1.65,0.34,0.56,2.01,3.22,3.53,5.57,,,,,,,,
April,,,2.81,2.35,1.89,1.94,2.21,1.74,0.42,2.71,1.94,1.53,1.06,1.46,0.64,0.61,1.35,1.18,2.19,2.71,2.64,0.97,,,,,,,,
May,,,2.12,3.91,3.59,3.61,1.33,2.58,1.42,2.37,1.94,2.12,0.52,1.57,2.67,4.75,1.37,0.61,2.1,0.4,1.05,3.02,,,,,,,,
June,,,5.57,2.7,3.51,1.39,1.4,3.96,0.8,1.95,2.95,2.27,4.31,0.25,0.81,2.16,1.01,0.38,2.96,0.97,3.52,1.81,,,,,,,,
July,,,2.9,4.89,3.7,5.12,1.33,3.7,2.2,4.98,4.7,3.77,3.66,4.54,2.51,1.21,0.31,1.85,2.05,2.1,2.69,4.57,,,,,,,,
August,,,2.24,3.97,4.43,2.6,,5.22,1.41,3.67,0.84,1.04,3.78,3.92,2.96,1.14,0.9,2.6,1.94,5.44,3.42,,,,,,,,,
September,,,2.93,4.74,2.91,2.09,,1.62,3.12,2.13,1.8,2.34,3.07,3.1,1.26,8.33,0.73,1.4,2.98,1.2,3.19,4.99,,,,,,,,
October,,,5.8,6.95,4.75,3.68,,5.1,3.03,2.03,3.14,2.87,1.87,4.57,5.47,4.67,1.07,3.03,3.32,1,7.73,1.29,,,,,,,,
November,,,6.98,2.81,5.69,2.79,,5.51,,3.02,1.59,3.39,1.14,4.06,4.26,1.59,0.79,2.14,4.2,2.21,5.18,4.7,,,,,,,,
December,,,4.22,5.46,4.91,3.14,,3.7,,2.61,4.5,3.47,6.38,3.09,3.09,1.98,2.07,4.69,2.31,0.66,0.77,2.3,,,,,,,,
Total,,,43.64,44.12,44.34,34.35,,46.07,,,29.68,33.22,40.67,34.46,30.6,31.89,,20.6,29.47,25.99,39.97,,,,,,,,,
