Rainfall at,INVERARAY CASTLE GARDENS
,
Station no,5427,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,15.42,20.57,9.24,12.26,8.73,7.74,13.19,15.23,21.28,2.84,12.23,
February,14.72,2.76,8.94,8.08,2.46,7.32,7.72,7.05,10.32,2.52,0.60,
March,12.23,14.57,3.42,2.92,0.53,4.56,11.14,7.00,4.82,2.36,5.06,
April,5.15,3.21,4.27,3.50,4.21,11.60,3.76,7.26,3.44,3.68,2.44,
May,13.76,5.86,10.03,3.47,4.27,12.09,4.37,4.96,1.29,5.07,3.94,
June,2.56,2.00,4.07,4.32,9.34,2.07,4.25,6.52,7.14,6.32,4.81,
July,4.39,4.19,7.31,8.48,7.23,3.97,6.29,4.46,7.47,7.55,6.30,
August,4.89,7.66,6.89,9.94,8.57,5.85,7.74,8.52,7.79,9.76,12.44,
September,5.79,6.76,6.35,13.44,9.27,5.76,7.78,9.75,7.34,4.27,5.56,
October,4.24,11.83,4.85,14.69,6.71,6.37,10.15,10.91,11.96,12.65,12.94,
November,7.10,4.25,6.69,7.38,7.00,2.17,8.89,10.69,15.10,11.86,11.19,
December,5.56,17.89,8.40,8.14,11.51,6.00,6.83,0.91,10.09,18.71,7.60,
Total,95.81,101.55,80.46,96.62,79.83,75.50,92.11,93.26,108.04,87.59,85.11,
Calc annual,95.81,101.55,80.46,96.62,79.83,75.50,92.11,93.26,108.04,87.59,85.11,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
