INVERARAY CASTLE GDNS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN089099,Long,-5.085532,Lat,56.243088,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.2,7.1,7,15,6,1.5,12,8,10,7,3,3,7,8,10,6,7,9,9,,7.2,0.2,9.3,8.7,13.3,6.3,9.3,6.82,5.69,9.09,15.91,6.94,10.07,4.86,12.16,2.83,6.98,1.56,9.33,8.76,11.2,5.49,8.16,12.9,7.3,7.7,9.9,7.2,10.5,10.9,9.78,8.3,6.25,5.2,8.91,9.22,16.63,6.21,8.15,5.89,15.42,20.57,9.24,12.26,8.73,7.74,13.19,15.23,21.28,2.84,12.23,8.45,15.18,9.59,15.24,6.52,6.05,15.74,18.38,5.25,2.03,0.89,9.27,8.45,13.78,4.44,12.54,7.36,11.9,13.92,7.81,8.44,8.83,7.06,9.09,4.37,8.88,13.81,8.06,4.98,6
February,6,5.2,2.2,8,4,2,6,8,14,9,3.5,2,6,2,3,2,5,12,3,,8.3,2.5,7.3,7.9,6.3,9.5,3.7,5.82,3.72,6.47,1.42,3.99,3.62,9.59,16.18,1.13,5.62,7.87,11.09,5.18,4.06,3.17,1.55,13.37,6.9,7.5,6.2,8.6,6.6,5.11,9.63,14.32,5.38,6.66,9.98,9.66,9.32,3.32,10.75,0.81,14.72,2.76,8.94,8.08,2.46,7.32,7.72,7.05,10.32,2.52,0.6,9.57,0.03,7.98,3.18,12.6,4.64,8.6,12.62,13.75,4.18,6.44,3.82,12.21,4.57,13.95,6.66,0.23,9.57,10.66,9.7,5.56,3.96,6.43,5.4,2.96,3.22,4.58,4.19,4.45,5.54
March,7.1,3.3,1,4,3,3,4,3,8,3,0.5,1.5,4,1,9,2.5,8,4,3.5,,4.4,6.2,10.4,2,4.9,4.9,4.4,3.11,6.03,4.59,10.05,7.36,1.74,5.27,7.05,6.4,10.78,9.44,4.78,7.69,0.8,5.03,7.87,12.98,4.1,8.7,6.8,8.5,7.5,1.12,4.57,3.53,8.43,11.22,7.78,5.84,2.43,4.91,2.73,5.18,12.23,14.57,3.42,2.92,0.53,4.56,11.14,7,4.82,2.36,5.06,1.65,4.87,5.26,5.36,4.87,5.43,1.4,15.12,6.63,5.84,3.57,4.8,7.25,2.48,8.54,4.87,2.78,9.45,4.91,5.32,5.42,6.82,3.74,5.74,1.51,5.03,9.01,1.87,5.12,2.88
April,5.2,3.1,5,8,4,2.5,3,9,4,2,3,0.5,1,1,4,2,1,1,3,,4,1.3,2.2,3.5,1.1,2.9,3.56,3.36,4.56,2.96,2.95,2.07,2.63,3.5,1.64,5.09,5.28,4.04,5.44,5.96,6.75,6,3.13,3.71,10.5,4.1,3.9,5.3,3.1,6.07,8.09,8.98,5.95,5.61,6.89,8.81,6.81,3.09,2,6.68,5.15,3.21,4.27,3.5,4.21,11.6,3.76,7.26,3.44,3.68,2.44,4.11,8.13,4.72,5.7,3.77,3.42,3.84,1.98,4.34,3.76,3.64,3.26,9.75,4.86,3.68,2.84,10.38,6.73,12.36,6.95,7.82,3.47,4.75,4.23,6.08,3.65,4.58,4.11,6.17,7.61
May,6,5.2,4,3,1.5,3,1,1,6,1,7,1,4,4,2,4,1,2,4,,2.1,2.6,2.7,4.5,6.2,2.5,3.94,1.55,5.7,4.22,2.54,2.92,8.71,3.26,4.01,1.03,0.87,3.72,2.97,2.96,6.21,1.75,4.32,3.46,4.5,4,5.3,5.4,4.21,5.53,4.65,5.63,3.71,7.04,3.73,1.06,6.01,5.48,4.42,1.6,13.76,5.86,10.03,3.47,4.27,12.09,4.37,4.96,1.29,5.07,3.94,6.32,3.52,4.63,6.48,1.19,3.65,2.85,7.32,1.61,1.72,2.69,4.44,3.52,6.05,5.6,1.7,4.45,2.96,3.83,2.52,1.27,1.75,3.89,4.23,4.4,7.36,2.09,6.16,2.77,3.87
June,2.2,1,5.1,4,3,1.5,3,4,4,4,2.5,2,11,4,1,5,4,7,3,,3,5.6,5.2,4.1,2,3.4,2.96,1.66,5.3,1.61,8.35,2.83,4.5,1.83,4.8,2.64,4.72,6.54,4.61,1.94,4.98,6.45,1.78,2.96,3.7,2.2,1.7,7,4.97,2.29,2.84,4.81,5.53,7.02,2.91,2.98,3.23,6.09,3.33,7.92,2.56,2,4.07,4.32,9.34,2.07,4.25,6.52,7.14,6.32,4.81,7.02,1.71,5.28,3.41,6.85,3.99,7.01,11.62,4.22,1.99,2.13,3.54,9.49,6.86,7.59,7.2,5.78,7.32,1.71,4.66,2.79,5.47,1.58,6.15,6.11,3.85,4.65,2.81,4.74,5.15
July,6.3,6.3,6,0.2,4,3,3,3,1,4,2,5,4,8.5,5,1.5,5,8,2,,3.3,8.2,8.1,2.2,6,3.2,5.5,4.98,4.56,1.76,7.24,2.85,6.06,7.37,6.24,5.8,3.74,6.5,3.1,4.91,5.52,2.53,5.03,4.85,4.5,4.9,5.3,3.8,6.64,6.67,5.53,6.01,4.38,1.3,2.6,6.89,4.8,2.54,5.97,2.8,4.39,4.19,7.31,8.48,7.23,3.97,6.29,4.46,7.47,7.55,6.3,5.97,7.86,5.95,4.4,3.87,6.58,9.5,8.64,10.56,4.54,3.78,7.47,5.24,2.77,4.22,5.74,8.89,6.66,3.63,8.63,5.74,4.25,8.83,5.05,1.92,6.92,6.5,4.76,9.24,5.86
August,3.1,16,3.1,5,3.5,6,8,6,8,1.5,2,6,6,8,6,6,4.5,4,4,,2.1,3.5,4,7.1,6.1,2.3,4.27,6.12,7.54,7.91,4.89,7.19,8.69,7.42,5.9,11.45,4.83,9.69,9.26,2.24,4.38,5.81,4.34,12.99,8.1,6.7,6.8,10.9,7.24,4.97,9.45,8.73,5.34,3.03,7.87,3.47,5.41,7.85,6.69,6,4.89,7.66,6.89,9.94,8.57,5.85,7.74,8.52,7.79,9.76,12.44,1.65,4.44,8.28,6.72,6.73,6.86,7.19,5.64,2.41,4.81,8.38,12.83,10.55,6.31,2.53,7.05,0.18,9.75,7.17,7.63,6.75,7.28,7.81,6.44,3.73,6.43,7.34,8.5,3,4.37
September,7,6.2,3,9,4.5,2,10,5,2,12,5,1,5.5,6.5,11,7,1,2,8,,2.7,3.1,7.3,3.5,5.2,12,10.28,5.87,2.53,2.92,10.03,11.05,12.82,6.51,0.09,4.53,7.46,7.11,10.54,10.2,9.26,7.71,6.05,5.05,6.7,6.1,5.7,3.1,11.71,3.44,2.84,4.49,5.05,3.42,7.92,2.85,3.63,9.91,8.96,8.39,5.79,6.76,6.35,13.44,9.27,5.76,7.78,9.75,7.34,4.27,5.56,2.19,8.57,1.38,10.89,14.85,4.75,9.45,9.52,6.33,7.19,3.78,12.87,7.18,6.55,9.69,10.26,10.77,13.86,4.14,17.8,7.05,5.96,11.07,11.16,9.7,7.54,5.07,7.24,3.85,4.45
October,12.2,6.1,10,6,4,5,5,10,9,6,9,1.5,6,11,13,5,6,12,9,,0.6,4.2,4.2,9.2,10.7,7.4,7.56,4.23,7.83,7.07,9.66,7.38,5.17,12.17,3.12,4.86,5.92,4.3,6.56,9.43,9.07,8.88,6.53,14.36,6.2,6.8,11.1,4.5,1.94,13.89,4.31,5.63,9.64,6.22,3.06,3.32,15.8,11.28,12.96,3.62,4.24,11.83,4.85,14.69,6.71,6.37,10.15,10.91,11.96,12.65,12.94,9.12,11.98,6.89,13.59,22.92,14.12,3.94,22.59,4.98,8.62,8.5,14.1,21.18,7.51,7.62,0.66,5.62,17.24,8.97,11.16,3.52,8.43,5.93,15.51,8.73,6.47,11.7,8.5,11.06,3.83
