"TRINITY GASK, PERTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 956 178,Long,-3.690598,Lat,56.340562,Elevation,133,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,2.6,2.5,4.4,4.7,5.2,7.35,4.8,4.05,2.1,5.1,5.86,6.15,5.78,2.78,2.26,4.9,5.35,3.68,6.27,2.2,6,,
February,,,,,,,,1,0.9,2.4,1.9,2.85,1.1,1.7,3.1,2.25,3.9,2.66,3.08,3.2,3.16,3.68,4.8,2.65,1.2,1.44,3.9,,,
March,,,,,,,,3,1.1,3.2,2.7,2.8,2.5,1.2,3.6,1.1,3.75,2.2,3.3,1,0.3,2.3,2.9,1.55,2.26,2.2,4.2,,,
April,,,,,,,,2.4,2.4,3.9,0.2,0.9,2.1,2.2,1.2,0.75,2.2,3.46,3.16,1.2,0.28,5.3,0.98,0.2,1.7,1.16,3.05,,,
May,,,,,,,,2.8,3.6,0.2,1.3,0.9,3.1,1.2,1.2,2.25,0.8,3.77,2.88,1.02,2,0.6,4.8,3.08,2.32,1.45,0.64,,,
June,,,,,,,,2.9,1.8,2,4.5,2.2,3.1,2.6,2.1,0.4,2,3.5,1.12,2.68,1,1.85,5.2,1.2,1.66,2.2,2.5,,,
July,,,,,,,,1.6,5,2,2.7,3.4,3.8,0.1,2.8,3.6,3.07,3.93,0.55,1.58,1.65,4.3,2.96,4.54,3.86,2.5,1.3,,,
August,,,,,,,,2.2,1.9,1.5,3.2,5.8,4.5,5.9,1.5,4.35,4.55,2.31,5.4,0.68,1.4,3.3,3,4.26,5.08,2.4,3.05,,,
September,,,,,,,,4.7,3.1,2.7,0.9,4.8,1.9,3.4,4.75,0.5,5.62,1.26,2.82,4.92,3,2.1,5.16,3.55,3.6,2.55,2.95,,,
October,,,,,,,1.6,1.9,4.4,4,3.3,2.6,4.6,3.3,5.2,5.4,2.07,2.97,2.12,2.6,3.76,4.1,3.45,3.8,4.8,5.7,4.53,,,
November,,,,,,,,2.3,1.4,2.3,4.15,4.85,1.19,2.55,3.6,3.6,2.1,0.28,1.56,1.55,0.9,2.2,5.44,2.03,4.7,3.83,2.7,,,
December,,,,,,,6.2,3.3,4.7,2.8,4,1.9,4.1,2.1,4.1,4.25,4.76,1.52,6.26,5.1,4.36,2.7,6.1,2.23,,3.7,8.2,,,
Total,,,,,,,,30.7,32.8,31.4,33.55,38.2,39.34,31.05,37.2,30.55,39.92,33.72,38.4,31.31,24.59,34.69,49.69,34.44,,35.4,39.22,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location based on School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
