WOODBURN NO 1,,,,,,,,,,
Grid ref,IJ353896,Long,-5.8998945,Lat,54.736321,Elevation,849,ft,,
Station no,RR4188,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.14
February,,,,,,,,,,4.3
March,,,,,,,,,,3.57
April,,,,,,,,,,3.83
May,,,,,,,,,,0.2
June,,,,,,,,,,2.55
July,,,,,,,,,,8.78
August,,,,,,,,,,5.7
September,,,,,,,,,,3.7
October,,,,,,,,,,7.3
November,,,,,,,,,,5.2
December,,,,,,,,,,3.12
Total,,,,,,,,,,53.39
,,,,,,,,,,
16360,WOODBURN NO 1 ,01/01/1960,31/12/1976,,,,,,,
