WOODBURN NO3,,,,,,,,,,
Grid ref,IJ361896,Long,-5.8874819,Lat,54.736106,Elevation,784,ft,,
Station no,RR4188,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.8
February,,,,,,,,,,3.73
March,,,,,,,,,,3.25
April,,,,,,,,,,3.67
May,,,,,,,,,,2.1
June,,,,,,,,,,2.44
July,,,,,,,,,,9.14
August,,,,,,,,,,5.6
September,,,,,,,,,,3.7
October,,,,,,,,,,6.9
November,,,,,,,,,,5.34
December,,,,,,,,,,3.1
Total,,,,,,,,,,53.77
,,,,,,,,,,
16362,WOODBURN NO 3 ,01/01/1960,31/12/1976,,,,,,,
