ESK HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY233080,Long,-3.1847365,Lat,54.461562,Elevation,2550,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,7.66,11.08,9.08,13.48,,,12.9,,11.3,9.73,,-999,-999,,,,,,,,,,,
February,,,,,,,,6.24,9.18,,,,10.76,,,,,-999,-999,,6.2,,,,,,,,,
March,,,,,,,,-999,12.22,,7.82,,8.8,,,,,-999,-999,1,6.5,,,,,,,,,
April,,,,,,12.2,,-999,8.17,,,6.62,6.24,,,,,-999,-999,0.35,6.7,14.2,,,,,,,,
May,,,,,,8.16,,4.32,5.56,2.46,7.32,,3.25,,,5.55,8.1,-999,7.2,4.25,9.5,8.8,,,,,,,,
June,,,,,,1.28,7,3.34,2.98,4.68,5.36,,9.33,,1.34,8.1,6.19,5.1,3.35,10.4,12.2,13.2,,,,,,,,
July,,,,,,5.54,9.6,11.2,2.76,6.17,2.54,,6.87,,7.33,,7.6,12.7,0.6,10.3,21.25,9.3,,,,,,,,
August,,,,,,10.73,11.7,12.75,11.76,4.67,2.48,,13.2,,,10.41,6.1,15.2,6.8,10.6,1.75,16.3,,,,,,,,
September,,,,,,5.26,12.54,10.48,4.49,15.57,7.81,,18.28,,12.32,8.1,10.5,5,11.36,14,12,6.7,,,,,,,,
October,,,,,,9.59,4.1,9.9,10.86,8.87,15.25,,17.04,8.54,,5.1,3.18,16.44,-999,6.55,,,,,,,,,,
November,,,,,,5.69,13.26,,5.82,,3.85,,7.93,7.31,,,,-999,-999,,9.35,17.2,,,,,,,,
December,,,,,,3.08,10.96,12.44,9.2,17.13,5.67,,6.67,8.7,11.5,,17.3,-999,-999,7,10.4,6.2,,,,,,,,
Total,,,,,,,,,92.08,,,,121.27,,,,,107.8,66.12,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865 Jan-March frozen therefore total for incomplete year removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866 Feb-Mar bracketed and part frozen;April-May bracketed and part frozen; Nov frozen; combination of frozen and bracketed so total estimated and removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867 Mar-Apr bracketed; Nov frozen and removed along with total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1869  Feb-April combination of bracketed and frozen, total therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1877 Jan-Mar; April-May, Nov-Dec bracketed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1878 Jan-Feb; Mar-Apr, Oct-Dec bracketed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1880 Jan, Oct frozen, total of 95.85 therefore estimated and removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Jan-Mar and October frozen; total of 91.90 therefore estimated and removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
