BOXGROVE-PRIORY-FARM,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU908077,Long,-0.71120938,Lat,50.86169,Elevation,90,ft,,,,,,,,,,,,,
Station no,433,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.09,2.43,5.58,1.37,4.35,2.63,,,,,,,,,
February,,,,,,,2.25,4,1.87,1.63,1.27,1.97,,,,,,,,,
March,,,,,,,0.43,3.26,2.22,0.09,1.68,0.94,,,,,,,,,
April,,,,,,,3.2,1.98,2.28,0.74,2.5,3.18,,,,,,,,,
May,,,,,,,2.63,0.63,1.11,2.27,1.86,3.21,,,,,,,,,
June,,,,,,,2.6,2.93,2.13,1.96,0.71,1.71,,,,,,,,,
July,,,,,,,1.69,2.37,1.92,1.88,2.52,3.49,,,,,,,,,
August,,,,,,,1.38,3.39,1.96,2.47,3.02,4.49,,,,,,,,,
September,,,,,,,0.36,5.34,0.83,1.58,2.51,4,,,,,,,,,
October,,,,,,,2.31,2.29,7.81,4.92,2.24,,,,,,,,,,
November,,,,,,,6.3,3.57,3.01,7.01,4.93,,,,,,,,,,
December,,,,,,,0.39,4.36,3.93,7.07,3.43,,,,,,,,,,
Total,,,,,,,27.63,36.55,34.65,32.99,31.02,,,,,,,,,,
