WELSHPOOL-POWYS-CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ215064,Long,-3.1617654,Lat,52.649629,Elevation,420,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,,,,,,,,,0.97,1.01,5.5,2.24,,,,,,,,
February,,,,,,,,,,,,,,,,,,,0.35,1.92,0.74,0.02,,,,,,,,
March,,,,,,,,,,,,,,,,,,,1.92,2.4,1.4,1.35,,,,,,,,
April,,,,,,,,,,,,,,,,,,,2.2,6.16,0.93,2.16,,,,,,,,
May,,,,,,,,,,,,,,,,,,,0.72,3.82,2.58,3.11,,,,,,,,
June,,,,,,,,,,,,,,,,,,,3.75,0.43,1.69,4.02,,,,,,,,
July,,,,,,,,,,,,,,,,,,,5.85,3.95,1.39,1.76,,,,,,,,
August,,,,,,,,,,,,,,,,,,,3.5,4.07,2.85,5.35,,,,,,,,
September,,,,,,,,,,,,,,,,,,,0.37,1.41,1.33,2.19,,,,,,,,
October,,,,,,,,,,,,,,,,,,,1.72,3.78,2.12,5.92,,,,,,,,
November,,,,,,,,,,,,,,,,,,,5.45,1.46,4.77,3.09,,,,,,,,
December,,,,,,,,,,,,,,,,,,,2.67,1.97,0.68,5.44,,,,,,,,
Total,,,,,,,,,,33.8,38.3,,,,,,,,29.47,32.38,25.98,36.65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Powys Castle. Altitude is from OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The totals given for 1879 and 1880 have a faint note that they are from ?????? but it is not clear what this means.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
