BASINGSTOKE-MONK-SHERBORNE-(RECTORY),,,,,,,,,,,,,,,,,,,,
Grid ref,SU609562,Long,-1.12721,Lat,51.30167,Elevation,314,ft,,,,,,,,,,,,
Station no,RR6834,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.76,0.78,1.06,2.95,2.24,0.38,1.38,3.26,2.64,,,,
February,,,,,,,,0.71,1.1,2.28,1,0,1.22,4.12,1.91,0,,,,
March,,,,,,,,1.98,3.48,2.03,1.13,2.34,0.88,0.49,1.61,1.27,,,,
April,,,,,,,,1.21,1.98,2.12,2.16,1.07,1.25,0.1,2.49,1.58,,,,
May,,,,,,,,1.52,1.75,2.51,2.28,3.41,1.12,0.77,2.15,0.29,,,,
June,,,,,,,,1.4,2.51,1.44,2.74,0.71,1.79,0.89,2.13,0.59,,,,
July,,,,,,,,0.91,6.41,3.03,4.48,2.21,2.43,2.85,4.8,3.7,,,,
August,,,,,,,,1.59,1.49,2.66,2.9,4.86,4.89,1.58,2.07,1.65,,,,
September,,,,,,,,2.35,1.47,1.42,0.81,1.54,3.08,1.29,1.74,2.4,,,,
October,,,,,,,,1.39,1.52,3.06,1.3,9.34,4.57,3.24,4.01,4.06,,,,
November,,,,,,,,3.53,4.05,1.24,1.94,2.9,2.22,1.92,5.36,5.08,,,,
December,,,,,,,,1.9,1.9,1.65,0.9,4.62,1.17,3.39,2.83,2.58,,,,
Total,,,,,,,,21.25,28.44,24.5,24.59,35.24,25,22.02,34.36,25.84,,,,
,,,,,,,,,,,,,,,,,,,,
Rectory,,,,,,,,,,,,,,,,,,,,
