FLEET-HOME-WOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU800549,Long,-0.85318,Lat,51.28791,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,755/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.15,2.22,0.62,4.12,5.82,2.54,5.16,2.54,2.44,3.33,5.76,1.81,1.28,2.21,2.19,5.32,1.08,0.56,3.66,,0.78,1.48,2.98,3.68,,,,
February,,,4.81,0.04,3.19,2.21,4.28,0.44,0.89,2.34,2.51,0.78,1.32,0.96,1.87,2.39,1.33,1.05,1.28,4.1,5.77,,1.39,2.38,1.42,0.15,,,,
March,,,2.6,2.6,0.27,1.91,3.7,0.28,1.28,2.79,4,0.97,0.38,0.34,0.47,1.06,4.93,0.91,1.45,0.95,4.34,,0.47,2.11,0.98,0.98,,,,
April,,,0.83,1.2,3.1,1.61,1.87,0,1.86,1.24,1.34,1.69,1.16,0.91,1.07,1.67,2.22,1.77,1.86,2.53,2.72,,2.16,0.25,0.11,0.25,,,,
May,,,1.94,0.44,0.8,0.66,3.18,1.15,1.55,0.97,1.93,2.84,2.83,0.25,1.67,2.87,1.36,3.28,2.35,1.39,2.84,,1.71,3.32,3.06,2.96,,,,
June,,,1.91,1.32,3.89,4.34,1.57,0.51,1.06,0.85,1.62,0.36,0.92,1.78,1.75,2.92,1.4,1.58,0.55,1.38,1.07,,1.54,2.79,2.35,2.25,,,,
July,,,1.85,2.12,1.11,3.19,0.73,1.71,3.29,2.29,3.42,1.58,1.83,1.97,3.04,2.01,1.06,0.76,1.06,4.71,1.75,,2.81,2.14,0.38,0.38,,,,
August,,,0.39,2.32,3.06,0.62,1.03,1.21,1.67,0.07,4.33,1.94,1.99,1.57,1.14,4.53,0.3,2.16,1.29,3.86,4.19,,1.95,,1.1,,,,,
September,,,7.65,1.01,3.41,2.45,2.25,0.65,1.02,1.4,0.1,1.09,1.39,2.64,1.88,3.99,1.1,2.45,1.05,2.85,3.3,,1.92,,1.34,,,,,
October,,,1.89,1.32,3.71,1.93,2.9,2.35,4.91,3.48,1.25,2.38,3.89,3.67,3.52,0.9,0.55,1.84,6.45,0.33,0.76,,3.45,1.91,3.33,,,,,
November,,,0.7,1.9,5.27,3.11,1.39,2.67,5.2,7.54,3,2.07,1.24,4.48,0.31,5.24,1.05,2.1,2.88,5.45,6.5,,1.46,4.03,2.42,,,,,
December,,,0.52,6.06,3.01,2.97,3.64,2.92,1.22,1.15,1.49,3.02,1.51,2.51,3.27,2.67,2.4,2.04,1.38,1.76,2.33,,0.61,,2.58,,,,,
Total,,,27.24,22.55,31.44,29.12,32.36,16.43,29.11,26.66,27.43,22.05,24.22,22.89,21.27,32.46,19.89,25.26,22.68,29.87,39.23,,20.25,,22.05,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quillets found but not Home Wood Since move to Quillets in 1950 was 50yds there are only a few houses it could have been,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All are at about the same elevation but not 300ft as given on sheets which is far too high for anything in this area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR centred on Quillets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Oct 19 Inspection Gauge is falling to pieces Seam at side splitting open Site rather near to house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Not printed Too low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Gauge moved into garden of Quillets some 50yds away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Record missing Observer very old and wishes to give up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Aug Sept Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Given total 21.55 appears incorrect as all months seem correctly transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Record incomplete Observer moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
