CRANLEIGH-WINTERFOLD,,,,,,,,,,
Grid ref,TQ071420,Long,-0.46853,Lat,51.16775,Elevation,600,ft,,
Station no,182/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.66,2.94,2.76,1.27,6.08,6.12,3.52,5.68,
February,,0.58,4.26,0.21,3.73,2.26,5.15,0.58,1.21,
March,,1.13,3.55,3.3,0.36,1.98,4.36,0.39,1.63,
April,,2.36,1.01,2.58,3.35,2.09,3.45,0.14,2.65,
May,,5.25,2.64,0.64,1.63,0.51,3.64,1.33,2.95,
June,,1.8,1.75,0.99,4.15,4.9,2.4,0.8,1.74,
July,,3.72,2.48,2.08,1.58,5.3,1.78,1.91,3.6,
August,,1.36,1.34,2.38,3.43,0.2,1.28,1.69,3.4,
September,,2.55,2.92,2.63,4.53,2.03,2.04,1.9,1.14,
October,,5.67,2.98,2.27,4.12,1.97,3.01,3.23,6.17,
November,,1.63,1.62,4.14,6.95,5.91,3.43,4.48,4.65,
December,,0.86,0.51,9.67,3.7,3.1,5.32,4.86,,
Total,,29.57,28,33.65,38.8,36.33,41.98,24.83,,
,,,,,,,,,,
1940 Dec Observer (head gardener) taken rain gauge to The Gardens Binstead House Ryde IOW,,,,,,,,,,
Taken to be in same place as earlier records,,,,,,,,,,
