"PENN (RAYNERS)",,,,,,,,,,,,
Grid ref,SU906934,Long,-0.692385,Lat,51.632126,,,,,,,
Station no,1002,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.00,0.57,,
February,,,,,,,,,0.97,,,
March,,,,,,,,,3.38,-999.00,,
April,,,,,,,,,3.79,,,
May,,,,,,,,,1.86,1.44,,
June,,,,,,,,,1.03,4.54,,
July,,,,,,,,,3.76,2.63,,
August,,,,,,,,,1.51,3.25,,
September,,,,,,,,,3.36,2.40,,
October,,,,,,,,,2.02,4.85,,
November,,,,,,,,,0.82,0.38,,
December,,,,,,,,,2.45,2.82,,
Total,,,,,,,,27.82,26.95,28.46,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.95,22.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.82,0.00,5.58,,
