CHEW-STOKE-WALLEY-COURT-(PUMPING-STATION),,,,,,,,,,
Grid ref,ST570618,Long,-2.61761,Lat,51.35425,Elevation,150,ft,,
Station no,1976/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.52,2.9,2.91,3.9,3.79
February,,,,,,0.21,3.42,4.18,0.27,2.72
March,,,,,,1.14,2.44,0.98,3.02,2.65
April,,,,,,1.73,0.07,1.13,3.19,2
May,,,,,4.18,0.63,1.8,2.83,1.23,0.94
June,,,,,2.66,2.49,1.97,3.49,1.16,4.45
July,,,,,0.23,1.93,3.84,3.17,2.43,5.6
August,,,,,0.7,4.1,3.32,4.63,1.33,5.25
September,,,,,2.69,3.83,4.39,5.05,0.25,3.81
October,,,,,1.63,1.99,3.68,3,2.94,7.32
November,,,,,4.81,0.76,3.38,2.33,5.24,4.97
December,,,,,4.65,3.2,2.5,4.51,6.99,5.04
Total,,,,,,26.53,33.71,38.21,31.95,48.54
,,,,,,,,,,
,,,,,,,,,,
Gauge read daily. Name changed to Pumping Station although move appears to have happened a few months later,,,,,,,,,,
Sometime during 1955 or early 1956 Walley Court was flooded to become part of Chew Valley Lake,,,,,,,,,,
,,,,,,,,,,
1955 Oct 31st Inspection Gauge sound. Site O/E E New site selected at P.S.,,,,,,,,,,
1956 Mar Letter received saying gauge had been moved near to P.S. but not site selected,,,,,,,,,,
1956 Gauge by wash channel with turf wall between gauge and channel,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as CHEW STOKE P STA SRC_ID 9587,,,,,,,,,,
1935-2012,,,,,,,,,,
