CHEW-STOKE-WALLEY-COURT-(WEEKLY-READINGS),,,,,,,,,,,,,,,,,,,
Grid ref,ST568613,Long,-2.62145,Lat,51.34978,Elevation,202,ft,,,,,,,,,,,
Station no,1976/7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.6,6.55,2.41,2.46,3.11,2.63,7.13,1.06,0.68,3.77,3.61,0.68,2.83,4.29,,,,,
February,0.38,2.19,0.79,3.59,3.36,1.65,1.99,1.88,7.57,5.01,0.8,1.94,4.13,2.31,,,,,
March,2.16,1.12,0.41,1.24,0.98,6.14,1.81,1.59,1.49,3.65,3.42,0.86,3.98,1.44,,,,,
April,1.91,1.15,2.69,1.05,2.49,3.03,1.99,1.94,3.1,4.32,1.89,3.74,0.66,1.45,,,,,
May,5.79,2.85,1.35,2.97,4.24,2.96,4.7,3.65,2.23,2.46,3.92,2.13,2.78,,,,,,
June,0.6,1.59,2.41,4.31,3.88,1.9,2.54,0.48,1.93,0.71,3.57,1.93,4.91,,,,,,
July,3.12,2.45,2.43,1.68,1.5,2.51,1.84,1.1,6.31,1.15,0.96,4.34,3.88,,,,,,
August,4.4,5.02,2.91,2.11,5,0.96,6.45,2.21,5.91,6.05,6.07,3.8,2.61,,,,,,
September,2.12,2.22,3.39,2.4,4.77,2.11,2.81,2,5.79,2.61,3.63,3.91,6.31,,,,,,
October,4.74,3.34,5.43,3.66,0.97,0.55,4.61,7.01,1.69,1.24,4.95,2.6,4.16,,,,,,
November,1.59,2.92,6.63,0.37,6.5,2.82,2.3,4.57,7.48,8.18,3.94,2.58,7.76,,,,,,
December,3.57,2.1,3.46,5.85,3.95,3.08,5.47,2.43,2.46,2.68,3.04,1.06,2.94,,,,,,
Total,33.98,33.5,34.31,31.69,40.75,30.34,43.64,29.92,46.64,41.83,39.8,29.57,46.95,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sometime during 1955 or early 1956 Walley Court was flooded to become part of Chew Valley Lake,,,,,,,,,,,,,,,,,,,
1942 -1955 Gauge read weekly,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Post 1960 known as CHEW STOKE P STA SRC_ID 9587,,,,,,,,,,,,,,,,,,,
1935-2012,,,,,,,,,,,,,,,,,,,
