YETMINSTER,,,,,,,,,,
Grid ref,ST595106,Long,-2.57722,Lat,50.8935,Elevation,173,ft,,
Station no,1543,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.37,3.95,4.71,3.23,3.75,5.69,3.99
February,,,,3.84,2.88,0.43,5.08,4.03,0.36,4.03
March,,,0.64,4.62,1.74,0.99,2.71,1.36,3.84,2.23
April,,,3.12,0.16,0.87,1.1,0.5,0.65,2.81,2.81
May,,,3.07,2.28,4.3,0.81,2.11,3.14,1.25,1.42
June,,,2.99,3.31,2.34,2.45,1.6,4.44,0.9,1.79
July,,,2.92,2.66,,2.09,3.87,1.98,1.4,4.33
August,,,1.92,2.76,0.63,4.16,3.06,2.86,1.72,4.55
September,,,3.23,3.89,1.36,5.31,3.6,5.62,0.07,4.53
October,,,4.27,2.92,2.81,1.94,2.67,3.8,3.65,11.26
November,,,1.65,8.1,4.42,1.06,2.6,3.27,5.59,5.66
December,,,0.81,3.41,5.43,6.13,3.68,5.01,10.21,4.46
Total,,,,39.32,,31.18,34.71,39.91,37.49,51.06
,,,,,,,,,,
Location unknown so CEDA NGR used,,,,,,,,,,
,,,,,,,,,,
1954 Not printed,,,,,,,,,,
1955 July mainly estimate for 18th,,,,,,,,,,
1955 Not printed,,,,,,,,,,
1956 Rain gauge will be built up so as to be above any flood level,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9135,,,,,,,,,,
1953-1980,,,,,,,,,,
