JOHNSTONE GOODHOPE SCHOOL,,,,,,,,,,
Grid ref,NY076921,Long,-3.4537702,Lat,55.214462,Elevation,374,ft,,
Station no,RR7328,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,6.2,0.85,,,,
February,,,,,4.55,1.2,,,,
March,,,,,3.3,3.25,,,,
April,,,,,1,2.15,,,,
May,,,,,4.62,2.2,,,,
June,,,,,5.45,4,,,,
July,,,,,3.6,4.85,,,,
August,,,,,6,7.2,,,,
September,,,,,2.75,0.85,,,,
October,,,,,5.15,7.1,,,,
November,,,,,3.6,3.3,,,,
December,,,,,7.2,2.45,,,,
Total,,,,,53.42,39.4,,,,
