BOXWORTH-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL352645,Long,-0.020398,Lat,52.262055,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.32,1.43,3.64,2.48,1.12,2.93,1.15,1.77,2.55,4.48,2.02,2.01,1.93,1.25,2.46,1,2.89,2.16,3.62,1.55,2.04,1.93,1.06,1.38,1.01,2.03,3.19,3.4,2.8,3.91,1.47,2.69,2.18,4.32,1.45,1.83,1.39,2.23,4.1,1.37,1.07,2.75,1.97,0.96,1.14,1.86,3.51,1.44,2.34,3.19,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.24,0.99,1.62,0.72,1.22,2.29,3.75,0.54,1.1,2.85,0.48,0.47,1.47,2.75,0.88,2.33,2.3,3.01,1.16,0.55,0.6,2.69,0.32,1.58,0.51,1.97,2.13,3.23,0.59,0.55,2.1,2.37,1.16,0.62,1.05,1.54,1.83,1.81,0.82,1,3.36,2.79,0.74,1.64,2.11,1.86,0.84,2.45,2.58,0.14,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.76,1.5,2.14,2.28,3.16,1.28,3.6,1.71,0.57,2.69,1.47,0.84,1.49,2.41,0.57,0.72,0.34,1.63,1.36,0.09,1.53,0.23,1.4,2.23,1.5,0.65,0.87,3.44,0.28,1.36,2.42,3.56,1.64,0.82,0.37,0.65,0.95,5.11,0.66,0.88,0.58,3.33,2.5,0.51,2.8,1.54,0.67,1.8,1.07,2.52,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.07,1.15,0.13,1.71,0.47,0.85,1.13,1.6,3.02,2.17,3.37,1.34,3.32,0.91,3.91,1.3,3.16,1.46,0.93,1.32,2.21,3.01,3.16,0.94,1.62,3.59,1.67,2.44,0.28,2.54,1.29,0.94,1.13,0.93,1.71,0.57,0.96,1.97,2.03,1.52,2.39,3.11,1.69,1.81,0.33,0.62,1.6,0.37,1.24,2.1,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.68,1.18,2.17,2.01,0.97,1.73,1.92,1.06,2.2,0.3,1.98,0.69,1.65,0.85,3.82,2.81,1.62,0.54,2.83,1.52,3.27,2.33,3.74,1.9,0.64,0.93,0.88,3.62,2.28,1.04,1.07,2.44,2.85,1.67,1.31,2.06,3.05,0.72,4.29,2.17,3.33,2.69,2.19,1.79,3.1,2.89,0.64,1.2,2.5,0.58,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.86,3.02,2.96,1.04,2.08,2.58,1.67,3.03,0.37,0.95,1.37,0.58,1.1,0.57,2,0.3,2.83,2.47,2.96,1.14,0.61,1.21,0.58,3.36,1.18,1.91,3.77,2.39,0.95,1.79,0.56,1.66,0.53,1.75,1.42,2.07,3.57,2.42,2.73,0.88,1.6,1.47,1.7,2.27,2.42,2.83,2.32,1.65,5.65,1.28,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.43,0.22,2.28,1.71,2.33,5.14,1.51,3.19,3.67,3.61,3.04,0.5,4.93,2.93,2.62,1.55,2.22,2.48,2.01,1.97,4.12,3.04,1.79,2.34,1.71,0.55,5.86,1.56,1.18,1.9,3.24,1.93,3.29,1.03,2.09,2.32,2.29,1.45,1.47,3.61,5.24,1.36,0.8,2.71,2.32,0.73,4.79,2.24,2.75,3.38,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.66,1.06,7.76,1.02,1.58,2.98,2.7,4.05,0.82,2.04,0.75,0.99,1.62,2.26,1.54,2.51,0.94,2.84,1.66,0.52,1.86,2.57,2.62,0.88,2.04,1.51,0.58,1.14,1.75,3.98,0.2,3.38,1.4,1.69,2.37,1.92,4.27,0,4.99,1.46,2.25,3.57,2.33,1.99,3.66,1.45,4.24,3.28,2.32,0.79,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.03,1.36,1.91,2.29,0.87,1.3,1.42,2.03,6.17,1.67,1.69,1.32,2.11,2.61,2.07,3.11,2.8,4.15,0.68,0.33,3.51,2.85,1.74,2.22,1.49,4.22,2.33,3.18,2.29,0.51,0.7,1.11,1.36,1.3,2.45,2.63,3.15,1.18,2.1,0.53,2.66,2.62,2.39,1.43,2.01,1.58,1.6,4.18,3.46,0.05,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.39,2.25,2.26,3,2.61,1.02,1.7,3.47,1.28,0.59,0.62,1.08,0.34,4.43,3.39,4.05,2.46,1.34,2.93,2.69,0.97,0.56,3.74,1.92,1.66,2.42,1.82,2.27,2.65,3.94,1.74,1.75,3.46,1.85,2.53,2.51,1.49,0.41,2.34,3.85,0.61,0.97,2.2,2.37,2.22,2.36,1.41,1.61,2.51,1.7,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
