"GOOLE",,,,,,,,,,,,
Grid ref,SE745235,Long,-0.872972,Lat,53.702627,,,,,,,
Station no,3177,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.58,1.62,0.69,1.35,1.30,3.79,1.08,2.29,1.74,3.97,,
February,2.32,0.64,1.59,2.10,1.79,1.85,1.58,3.65,0.25,1.54,,
March,2.57,2.17,0.37,1.90,2.39,1.23,1.39,1.64,0.73,0.98,,
April,0.78,1.26,1.73,0.45,0.86,2.06,0.21,0.62,2.40,1.03,,
May,3.73,1.11,2.43,3.13,3.06,0.45,1.17,1.70,0.67,0.82,,
June,1.26,2.03,3.35,2.15,2.38,2.91,2.84,4.53,1.08,0.61,,
July,1.62,2.19,2.30,2.00,1.03,3.36,3.18,3.54,1.09,4.31,,
August,5.58,1.20,3.30,5.44,0.68,5.62,4.02,2.70,0.33,2.15,,
September,1.35,2.77,1.69,1.67,1.13,1.77,3.69,1.42,0.06,2.57,,
October,1.49,2.40,1.62,2.97,1.68,1.11,1.26,1.69,1.74,5.38,,
November,5.04,2.00,1.63,4.00,1.44,0.67,2.14,0.68,2.61,3.77,,
December,2.11,1.66,1.32,2.01,2.75,1.68,2.80,3.20,2.59,2.36,,
Total,29.43,21.05,22.02,29.17,20.49,26.50,25.36,27.66,15.29,29.49,,
Calc annual,29.43,21.05,22.02,29.17,20.49,26.50,25.36,27.66,15.29,29.49,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
