"BROADSTAIRS (STONE HOUSE)",,,,,,,,,,,,
Grid ref,TR396690,Long,1.440960,Lat,51.369478,,,,,,,
Station no,306/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,1.98,0.83,1.48,2.91,4.38,,,1.75,2.29,,
February,3.99,1.42,1.11,2.35,1.24,1.98,2.41,,0.07,1.56,,
March,2.34,2.32,0.25,2.16,1.68,0.58,0.68,,1.03,1.04,,
April,1.63,0.62,0.53,0.20,0.32,0.72,,,1.97,0.74,,
May,1.61,1.20,2.08,1.58,3.79,0.51,0.64,,0.45,2.51,,
June,1.50,1.98,2.25,1.27,1.51,1.66,0.50,,4.35,1.08,,
July,1.84,0.71,3.83,2.38,3.14,1.35,1.76,,3.52,2.62,,
August,3.00,2.52,1.94,2.99,1.00,3.25,1.27,,3.25,2.33,,
September,4.04,4.93,2.82,0.73,1.05,1.24,2.50,,0.30,3.87,,
October,1.64,1.83,2.17,1.30,5.15,1.04,1.03,,2.67,6.83,,
November,2.75,3.57,1.75,3.92,0.43,0.51,3.31,,5.04,3.77,,
December,1.83,2.31,0.80,1.25,1.96,1.45,1.41,,4.80,3.04,,
Total,28.30,25.39,20.36,21.61,24.18,18.67,,,29.21,31.68,,
Calc annual,28.30,25.39,20.36,21.61,24.18,18.67,15.51,0.00,29.20,31.68,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.01,0.00,,
