BRADFORD-STOFORD-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST180218,Long,-3.16937,Lat,50.9902,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,4.3,1.83,3.89,4.25,4.44,4.31,4.45,1.28,5.99,2.48,4.55,2.23,2.78,0.94,4.21,5.8,4.3,5.6,2.09,4.19,3.28,7.01,2.19,2.09,,,,,
February,,,3.26,9.06,0.61,4.76,2.56,4.26,3.02,0.86,1.12,2,0.08,4.64,0.32,3.82,2.87,5.4,1.06,1.55,2.68,2.93,0.21,1.65,0.45,2.24,,,,,
March,,,2.97,1.56,1.7,0.54,0.62,4.51,3.08,0.34,2.93,1.31,2.7,3.27,2.89,1.16,3.26,6.2,0.12,1.32,2.83,4.15,2.25,1.05,,0.75,,,,,
April,,,3.79,2.6,3.65,2.16,2.28,2.54,1.77,0.77,3.68,2.72,3.01,1.35,3.31,4.7,2.4,2.58,0.1,2.58,2.59,2.58,1.59,1.03,,0.95,,,,,
May,,,0.73,2.09,3.97,3.81,1.82,1.11,1.36,2.79,1.49,3.18,3.68,2.87,1.42,1.64,1.25,2.31,2.14,0.62,2.2,1.59,5.96,2.62,0.9,3.61,,,,,
June,,,0.65,0.69,3.43,0,2.87,2.26,1.92,1.87,0.72,2.73,1.41,1.82,1.6,3.33,2.62,0.66,1.29,2.98,0.99,1.54,0.6,1.96,2.31,2.39,,,,,
July,,,3.65,1.11,3.16,2.92,2.45,2.94,1.92,1.96,1.61,3.88,2.52,2.53,0.13,0.38,5.59,4.84,3.03,5.12,2.97,1.79,1.6,2.91,1.52,2.06,,,,,
August,,,2.99,2.32,3.31,2.8,1.23,2.8,1.71,2.52,3.31,3.86,1.43,1.8,2.58,1.95,0.2,1.45,3.02,1.77,0.17,3.48,2.98,1.55,2.71,1.51,,,,,
September,,,2.29,3.03,4.44,4.3,1.16,5.58,1.41,0.62,5.35,1.29,5.34,1.16,2.02,3.49,2.05,3.03,1.55,2.29,1.52,1.56,2.03,2.62,2.03,3.51,,,,,
October,,1.33,1.68,5.26,4.41,3.59,4.6,2.27,5.18,5.96,3.59,0.82,6.15,3.09,2.35,4.91,1.23,4.12,3.46,3.56,5.11,1.97,2.96,3.28,5.02,3.89,,,,,
November,,2.39,1.64,2.66,3.91,2.8,8.88,3.07,4.07,10.14,5.28,4.87,1.85,1.08,1.57,6.24,4,1.84,4.53,6.46,7.15,2.75,0.97,,5.4,1.39,,,,,
December,,2.32,5.64,2.99,4.77,4.2,0.41,3.12,2.99,9.31,3.43,1.67,3.11,1.4,9.81,4.82,2.73,3.09,3.55,2.46,3.62,1.91,3.73,3.16,3.68,4.51,,,,,
Total,,,33.59,35.2,41.25,36.13,33.32,38.77,32.88,38.42,38.5,30.81,35.83,27.24,30.78,37.38,32.41,41.32,28.15,36.31,33.92,30.44,28.16,,,28.9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Jan-Sept Note says readings lost Total for year 18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Mar Gauge moved 6ft NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Apr May adjusted for accumulation May part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Nov Estimated by reference to surrounding stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Mar Apr App Values removed as unable to reconcile total error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
