BOCKING CHURCH STREET,,,,,,,,,,,,
Grid ref,TL760260,Long,0.557002,Lat,51.904736,,,,,,,
Station no,1306/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.46,2.21,3.67,1.29,2.06,1.90,2.08,,
February,,,,1.84,1.81,0.55,2.29,3.21,0.12,1.52,,
March,,,0.41,1.89,1.15,0.75,1.08,0.92,1.62,1.37,,
April,,,2.09,0.19,0.16,1.14,0.24,1.04,1.97,0.46,,
May,,,1.53,1.95,3.54,0.53,1.12,2.38,0.62,1.59,,
June,,,2.65,2.50,2.11,1.65,1.56,5.25,2.24,1.52,,
July,,,2.96,2.67,0.66,2.53,3.26,3.70,2.76,3.56,,
August,,,1.58,2.84,1.50,4.05,2.38,4.73,0.39,2.57,,
September,,,1.89,1.13,2.26,1.41,2.27,3.76,0.00,3.03,,
October,,,2.44,1.62,3.96,2.48,1.81,1.95,1.63,5.51,,
November,,,1.10,3.18,0.55,0.54,2.69,1.40,2.26,3.32,,
December,,,0.65,1.57,1.53,1.93,1.84,2.84,3.94,2.54,,
Total,,,,22.84,21.44,21.23,21.83,33.24,19.45,29.07,,
Calc annual,0.00,0.00,17.30,22.84,21.44,21.23,21.83,33.24,19.45,29.07,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
