HILL BROOME (GLEBE HOUSE),,,,,,,,,,
Grid ref,SO887403,Long,-2.1662337,Lat,52.060961,Elevation,50,ft,,
Station no,RR7879,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.06,3.34,0.61,2.71,0.9,,,
February,,,1.85,1.05,1.74,2.64,3.97,,,
March,,,3.38,4.12,3.28,0.85,3.54,,,
April,,,0.08,3.3,1.21,1.37,1.31,,,
May,,,2.72,2.76,1.22,3.58,2.94,,,
June,,,5.34,0.69,3.63,1.59,2.19,,,
July,,,4.68,0.89,4.09,5.41,1.55,,,
August,,,7.34,1.47,1.13,3.98,3.35,,,
September,,,0.72,2.62,0.99,0.68,,,,
October,,,3.46,2.71,1.78,3.63,,,,
November,,,1.28,2.85,2.69,2.15,,,,
December,,,2.95,0.9,5.39,4.38,,,,
Total,,,37.86,26.7,27.76,32.97,,,,
