EAST-ANSTEY-SOAMES-(BARTON-HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS866265,Long,-3.6171,Lat,51.0272,Elevation,780,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1835/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,8.44,4.31,5.27,6.73,9.09,5.06,3.34,4.72,3.58,10.74,2.82,2.13,,,1.33,4.31,4.51,5.9,4.89,4.24,6.56,4.88
February,,,,,,,,,2.6,4.03,5.3,0.67,3.14,2.19,5.75,5.3,1.2,2.69,2.69,9.01,,,2.92,5.17,4.12,0.51,7.65,6.37,0.3,4.3
March,,,,,,,,,2.23,3.54,5.74,3.33,1.93,0.33,1.74,1.85,6.39,2.31,2.89,2.12,,,1.67,4.64,1.37,3.17,4.84,2.09,5.5,2.32
April,,,,,,,,,3.82,3.27,1.36,1.65,1.27,2.55,1.06,3.7,3.6,3.19,2.72,3.41,,,3.21,1.64,2.23,2.22,0.45,1.51,4.69,3.86
May,,,,,,,,,1.1,1.94,2.66,6.23,3.68,1.6,4.81,5.04,3.39,3.9,3.87,2.15,,,2.78,3.38,5.3,0.91,2.1,5.45,1.59,2
June,,,,,,,,,3.16,1.05,1.4,0.86,2.64,4.56,5.69,4.48,4.12,2.75,1.41,2.01,,,2.23,4.11,5.3,2.75,2.25,4.61,2.44,2.03
July,,,,,,,,4.37,7.7,5.61,2.22,2.99,3.92,3.53,3.27,3.23,2.59,2.45,2.87,6.54,,,5.18,6.65,5.07,3.44,5.07,3.04,4.55,6.97
August,,,,,,,,5.31,3.48,0.52,7.97,5.95,5.68,4.8,2.68,6.28,1.08,5.34,4.3,8.74,,,4.44,4.46,0.54,4.73,5.38,7.56,3.75,4.8
September,,,,,,,,1.45,0.87,3.11,0.88,4.12,5.03,4.13,3.58,6.55,2.86,2.95,2.27,7.95,,,5.81,6.3,2.53,9.16,7.34,6.32,0.81,5.47
October,,,,,,,,7.32,4.19,4.93,4.27,5,4.29,8.44,5.5,2.1,1.14,6.2,9.14,2.39,,,3.88,4.78,2.83,2.98,4.66,5.21,6.58,11.2
November,,,,,,,,7.92,12.04,9.6,3.62,1.35,5.28,10.07,1.38,9.09,4.88,3.19,6.32,9.93,,,3.38,9.04,3.17,2.39,2.88,4.47,7.49,6.97
December,,,,,,,,6.43,3.41,4.74,3.53,6.31,4.12,6.08,6.71,6.03,4.7,6.28,4.96,4.63,,,1.9,6.55,8.75,5.7,4.14,5.66,11.88,8.56
Total,,,,,,,,,53.04,46.65,44.22,45.19,50.07,53.34,45.51,58.37,39.53,51.99,46.26,61.01,,,38.73,61.03,45.72,43.86,51.65,56.53,56.14,63.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 May or June gauge moved from Rhyll Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
