"EAST ANSTEY (BARTON HOUSE)",,,,,,,,,,,,
Grid ref,SS867266,Long,-3.616989,Lat,51.027566,,,,,,,
Station no,1836,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.33,4.31,4.51,5.90,4.89,4.24,6.56,4.88,,
February,,,2.92,5.17,4.12,0.51,7.65,6.37,0.30,4.30,,
March,,,1.67,4.64,1.37,3.17,4.84,2.09,5.50,2.32,,
April,,,3.21,1.64,2.23,2.22,0.45,1.51,4.69,3.86,,
May,,,2.78,3.38,5.30,0.91,2.10,5.45,1.59,2.00,,
June,,,2.23,4.11,5.30,2.75,2.25,4.61,2.44,2.03,,
July,,,5.18,6.65,5.07,3.44,5.07,3.04,4.55,6.97,,
August,,,4.44,4.46,0.54,4.73,5.38,7.56,3.75,4.80,,
September,,,5.81,6.30,2.53,9.16,7.34,6.32,0.81,5.47,,
October,,,3.88,4.78,2.83,2.98,4.66,5.21,6.58,11.20,,
November,,,3.38,9.04,3.17,2.39,2.88,4.47,7.49,6.97,,
December,,,1.90,6.55,8.75,5.70,4.14,5.66,11.88,8.56,,
Total,,,38.73,61.03,45.72,43.86,51.65,56.53,56.14,63.36,,
Calc annual,0.00,0.00,38.73,61.03,45.72,43.86,51.65,56.53,56.14,63.36,,
Difference,NaN,NaN,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
