BREWOOD BELVIDE RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ861103,Long,-2.207083,Lat,52.690205,Elevation,367,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.52,2.97,2.38,0.65,0.36,1.92,1.82,1.97,1.57,1.77,2.81,1.07,1.47,0.99,3.31,2.74,1.55,0.81,1.34,2.45,0.69,3.41,1.4,1.13,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.08,0.49,0.34,0.54,1.65,0.63,0.1,1.36,2.3,2.29,0.45,0.55,2.73,1.41,2.45,2.86,1.03,0.97,1.25,3.35,1.02,1.67,1.33,1.17,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.76,2.68,1.34,2.14,2.29,1.23,0.94,0.69,0.42,1.47,1.77,3.61,2.17,0.8,1.02,0.93,1.36,1.51,3.84,1.36,3.24,1.25,1.29,2.75,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.88,1.69,1.63,1.47,3.23,0.88,1.76,0.97,0.42,1.21,1.97,0.94,1.89,1.52,2.64,0.76,1.84,1.6,1.68,1.63,1.87,1.34,1.75,2.51,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.12,5.65,1.42,0.63,3.06,1.96,3.69,2.49,2.08,2.51,0.92,0.43,1.17,3.14,2.19,2.09,1.12,3.04,2.69,2.23,0.73,2.65,3.73,4.03,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.81,1,2.25,1.78,0.93,1.66,2.82,3.8,3.42,2.24,1.03,1.05,3.32,1.37,2.68,2.64,1.92,1.67,0.8,0.48,2.8,2.34,2.76,2.82,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.75,3.09,1.92,5.71,2.05,2.15,2.34,2.03,2.39,2.52,2.97,1.68,1.37,1.2,1.87,2.06,4.23,1.31,1.2,2.51,1.42,0.74,3.46,2.38,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.9,2.02,1.84,3.49,2.59,3.6,3.97,1.96,1.53,2.15,1.41,1.92,3.27,3.99,1.01,3.26,3.14,4.72,4.86,3.03,4.92,2.56,2.62,3.68,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.36,2.64,2.34,1.12,2.55,0.58,1.89,3.13,1.65,0.95,0.74,4.05,2.77,0.61,4.75,0.52,0.87,1.63,3.65,2.31,1.06,1.45,1.13,2.08,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.74,3.65,2.17,0.56,3.98,1.52,5.37,2.5,1.77,2.77,2.64,2.26,0.96,1.98,2.67,3.52,2.37,2.64,5.05,0.54,1.36,4.37,4.71,2.19,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
