"BREWOOD BELVIDE RESERVOIR",,,,,,,,,,,,
Grid ref,SJ861103,Long,-2.207083,Lat,52.690205,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,0.47,,
March,,,,,,,,,,1.97,,
April,,,,,,,,,,2.09,,
May,,,,,,,,,,1.37,,
June,,,,,,,,,,3.59,,
July,,,,,,,,,,3.91,,
August,,,,,,,,,,1.80,,
September,,,,,,,,,,2.96,,
October,,,,,,,,,,3.22,,
November,,,,,,,,,,0.81,,
December,,,,,,,,,,4.33,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
