EYTON,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO484607,Long,-2.7571183,Lat,52.242054,Elevation,247,ft,,,,,,,,,,,,,
Station no,RR7779,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,0.48,2.61,1.14,1.02,2.2,2.4,2.73,2.67,3.06,,,,,,,,
February,,,,,2.97,4.65,3.83,0.98,1.09,1.73,0.9,0.28,2.91,,,,,,,,
March,,,,,2.72,0.4,3.62,2.33,1.38,4.25,2.77,1.33,2.43,,,,,,,,
April,,,,,1.36,0.98,0.71,1.36,1.57,1.44,4.53,1.09,1.85,,,,,,,,
May,,,,,1.5,3.02,2.96,2.48,2.79,0.47,3.17,1.07,0.6,,,,,,,,
June,,,,,1.95,1.34,1.08,3.7,0.92,0.77,2.58,0.33,1.02,,,,,,,,
July,,,,,3.88,5.41,1.55,3.03,3.33,1.93,4.28,0.51,,,,,,,,,
August,,,,,2.89,2.64,2.46,6.28,1.72,2.71,1.25,3.12,,,,,,,,,
September,,,,,1.03,0.87,0.86,1.73,6.56,2.06,2.63,0.76,,,,,,,,,
October,,,,,2.34,4.62,3.98,2.48,1.22,1.36,2.68,2.12,,,,,,,,,
November,,,,,2.83,1.8,2.51,0.76,1.61,0.94,1.1,2.29,,,,,,,,,
December,,,,,5.77,5.49,1.75,0.36,2.6,2.8,2.3,0.95,,,,,,,,,
Total,,,,,29.72,33.83,26.45,26.51,26.99,22.86,30.92,16.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR based upon distance/direction from All Saint's Eyton and Leominster Railway station,,,,,,,,,,,,,,,,,,,,,
