KEADY (DERRYNOOSE RECTORY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH844343,Long,-6.705355,Lat,54.25086,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6192/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.35,4.2,5.17,3.78,3.47,3.19,2.39,5.4,4.15,4.03,2.3,4.64,2.72,5.87,2.57,1.12,2.97,4.84,1.18,,,,,,,
February,,,,,3.7,2,3.54,1.42,2.38,2.64,2.74,1.57,1.95,1.08,3.31,2.66,1.31,2,2.56,2.84,3.22,0.62,1.54,,,,,,,
March,,,,,1.22,1.78,2.78,1.08,3.23,4.49,3.45,3.71,1.25,0.45,1.63,1.52,5.21,2.33,2.21,1.48,2.94,1.73,0.29,,,,,,,
April,,,,,2.7,0.74,2.25,0.13,2.32,2.94,2.21,2.57,2.36,2.19,1.63,1.04,3.62,2.36,2.31,4,1.87,1.74,2.49,,,,,,,
May,,,,,0.91,1.71,1.94,4.37,1.05,0.72,3.05,3.51,3.2,1.61,3.64,1.07,3.64,2.21,2.23,1.04,1.48,1,2.08,,,,,,,
June,,,,1.42,5.51,4,2.04,3.79,2.87,1.77,0.55,0.13,3.59,2.82,4.38,2.67,4.96,4.47,1.03,2.86,2.42,2.51,2.05,,,,,,,
July,,,,2.17,1.18,6.09,3.22,5.21,4.72,4.17,2.59,4.2,2.17,3.04,4.77,3.6,3.33,2.43,2.82,6.02,3.29,1.87,3.89,,,,,,,
August,,,,5.41,2.9,1.59,2.82,2.7,1.54,0.81,3.65,4.4,5.19,4.47,1.73,4.64,0.61,3.25,3,4.5,5.17,3.85,3.46,,,,,,,
September,,,,5.29,3.89,5.17,2.94,2.6,2.07,2.76,1.03,4.81,2.2,5.25,3.19,5.6,2.89,3.09,3.73,5.5,2.61,1.27,3.31,,,,,,,
October,,,,3.87,3.31,2.62,2.41,6.09,4.09,4.55,3.78,2.31,3.03,4.68,3.73,1.47,1.99,2.38,4.68,3.49,1.01,4.11,,,,,,,,
November,,,,0.87,4.1,3.54,1.61,4.6,5.07,3.7,3.82,0.53,2.29,5.32,0.48,5.23,3.53,2.84,2.2,2.73,4.92,2.32,,,,,,,,
December,,,,4.46,2.61,3.02,2.58,3.74,2.84,3.89,1.44,4.08,2.38,4.1,2.98,4.35,3.3,4.83,4.5,2.72,4.4,3.67,,,,,,,,
Total,,,,,33.38,36.46,33.3,39.51,35.65,35.63,30.7,37.22,33.76,39.04,33.77,38.49,37.11,38.06,33.84,38.3,36.3,29.53,,,,,,,,
